V1	Ix(D1:+)
-5.000000000000000e+00	-1.362432e-08
-4.990000000000000e+00	-1.362346e-08
-4.980000000000000e+00	-1.362259e-08
-4.970000000000000e+00	-1.362172e-08
-4.960000000000000e+00	-1.362086e-08
-4.950000000000000e+00	-1.361999e-08
-4.940000000000000e+00	-1.361913e-08
-4.930000000000000e+00	-1.361826e-08
-4.920000000000000e+00	-1.361739e-08
-4.910000000000000e+00	-1.361652e-08
-4.900000000000000e+00	-1.361566e-08
-4.890000000000000e+00	-1.361479e-08
-4.880000000000000e+00	-1.361393e-08
-4.870000000000000e+00	-1.361306e-08
-4.860000000000000e+00	-1.361219e-08
-4.850000000000000e+00	-1.361133e-08
-4.840000000000000e+00	-1.361046e-08
-4.830000000000000e+00	-1.360959e-08
-4.820000000000000e+00	-1.360872e-08
-4.810000000000000e+00	-1.360785e-08
-4.800000000000000e+00	-1.360698e-08
-4.790000000000000e+00	-1.360612e-08
-4.780000000000000e+00	-1.360525e-08
-4.770000000000000e+00	-1.360438e-08
-4.760000000000000e+00	-1.360351e-08
-4.750000000000000e+00	-1.360264e-08
-4.740000000000000e+00	-1.360177e-08
-4.730000000000000e+00	-1.360090e-08
-4.720000000000000e+00	-1.360003e-08
-4.710000000000000e+00	-1.359916e-08
-4.700000000000000e+00	-1.359829e-08
-4.690000000000000e+00	-1.359742e-08
-4.680000000000000e+00	-1.359655e-08
-4.670000000000000e+00	-1.359568e-08
-4.660000000000000e+00	-1.359481e-08
-4.650000000000000e+00	-1.359394e-08
-4.640000000000000e+00	-1.359307e-08
-4.630000000000000e+00	-1.359220e-08
-4.620000000000000e+00	-1.359133e-08
-4.610000000000000e+00	-1.359046e-08
-4.600000000000000e+00	-1.358958e-08
-4.590000000000000e+00	-1.358871e-08
-4.580000000000000e+00	-1.358784e-08
-4.570000000000000e+00	-1.358697e-08
-4.560000000000000e+00	-1.358610e-08
-4.550000000000000e+00	-1.358523e-08
-4.540000000000000e+00	-1.358435e-08
-4.530000000000000e+00	-1.358348e-08
-4.520000000000000e+00	-1.358261e-08
-4.510000000000000e+00	-1.358173e-08
-4.500000000000000e+00	-1.358086e-08
-4.490000000000000e+00	-1.357999e-08
-4.480000000000000e+00	-1.357912e-08
-4.470000000000000e+00	-1.357824e-08
-4.460000000000000e+00	-1.357737e-08
-4.450000000000000e+00	-1.357649e-08
-4.440000000000000e+00	-1.357562e-08
-4.430000000000000e+00	-1.357475e-08
-4.420000000000000e+00	-1.357387e-08
-4.410000000000000e+00	-1.357300e-08
-4.400000000000000e+00	-1.357212e-08
-4.390000000000000e+00	-1.357125e-08
-4.380000000000000e+00	-1.357037e-08
-4.370000000000000e+00	-1.356950e-08
-4.360000000000000e+00	-1.356862e-08
-4.350000000000000e+00	-1.356775e-08
-4.340000000000000e+00	-1.356687e-08
-4.330000000000000e+00	-1.356599e-08
-4.320000000000000e+00	-1.356512e-08
-4.310000000000000e+00	-1.356424e-08
-4.300000000000000e+00	-1.356337e-08
-4.290000000000000e+00	-1.356249e-08
-4.280000000000000e+00	-1.356161e-08
-4.270000000000000e+00	-1.356073e-08
-4.260000000000000e+00	-1.355986e-08
-4.250000000000000e+00	-1.355898e-08
-4.240000000000000e+00	-1.355810e-08
-4.230000000000000e+00	-1.355722e-08
-4.220000000000000e+00	-1.355635e-08
-4.210000000000000e+00	-1.355547e-08
-4.200000000000000e+00	-1.355459e-08
-4.190000000000000e+00	-1.355371e-08
-4.180000000000000e+00	-1.355283e-08
-4.170000000000000e+00	-1.355195e-08
-4.160000000000000e+00	-1.355107e-08
-4.150000000000000e+00	-1.355019e-08
-4.140000000000000e+00	-1.354932e-08
-4.130000000000000e+00	-1.354844e-08
-4.120000000000000e+00	-1.354755e-08
-4.110000000000000e+00	-1.354667e-08
-4.100000000000000e+00	-1.354579e-08
-4.090000000000000e+00	-1.354491e-08
-4.080000000000000e+00	-1.354403e-08
-4.070000000000000e+00	-1.354315e-08
-4.060000000000000e+00	-1.354227e-08
-4.050000000000000e+00	-1.354139e-08
-4.040000000000000e+00	-1.354051e-08
-4.030000000000000e+00	-1.353963e-08
-4.020000000000000e+00	-1.353875e-08
-4.010000000000000e+00	-1.353786e-08
-4.000000000000000e+00	-1.353698e-08
-3.990000000000000e+00	-1.353610e-08
-3.980000000000000e+00	-1.353522e-08
-3.970000000000000e+00	-1.353433e-08
-3.960000000000000e+00	-1.353345e-08
-3.950000000000000e+00	-1.353257e-08
-3.940000000000000e+00	-1.353168e-08
-3.930000000000000e+00	-1.353080e-08
-3.920000000000000e+00	-1.352991e-08
-3.910000000000000e+00	-1.352903e-08
-3.900000000000000e+00	-1.352815e-08
-3.890000000000000e+00	-1.352726e-08
-3.880000000000000e+00	-1.352638e-08
-3.870000000000000e+00	-1.352549e-08
-3.860000000000000e+00	-1.352461e-08
-3.850000000000000e+00	-1.352373e-08
-3.840000000000000e+00	-1.352284e-08
-3.830000000000000e+00	-1.352195e-08
-3.820000000000000e+00	-1.352107e-08
-3.810000000000000e+00	-1.352018e-08
-3.800000000000000e+00	-1.351929e-08
-3.790000000000000e+00	-1.351841e-08
-3.780000000000000e+00	-1.351752e-08
-3.770000000000000e+00	-1.351663e-08
-3.760000000000000e+00	-1.351575e-08
-3.750000000000000e+00	-1.351486e-08
-3.740000000000000e+00	-1.351397e-08
-3.730000000000000e+00	-1.351308e-08
-3.720000000000000e+00	-1.351220e-08
-3.710000000000000e+00	-1.351131e-08
-3.700000000000000e+00	-1.351042e-08
-3.690000000000000e+00	-1.350953e-08
-3.680000000000000e+00	-1.350864e-08
-3.670000000000000e+00	-1.350775e-08
-3.660000000000000e+00	-1.350686e-08
-3.650000000000000e+00	-1.350597e-08
-3.640000000000000e+00	-1.350508e-08
-3.630000000000000e+00	-1.350419e-08
-3.620000000000000e+00	-1.350330e-08
-3.610000000000000e+00	-1.350241e-08
-3.600000000000000e+00	-1.350152e-08
-3.590000000000000e+00	-1.350063e-08
-3.580000000000000e+00	-1.349973e-08
-3.570000000000000e+00	-1.349885e-08
-3.560000000000000e+00	-1.349795e-08
-3.550000000000000e+00	-1.349706e-08
-3.540000000000000e+00	-1.349617e-08
-3.530000000000000e+00	-1.349528e-08
-3.520000000000000e+00	-1.349438e-08
-3.510000000000000e+00	-1.349349e-08
-3.500000000000000e+00	-1.349260e-08
-3.490000000000000e+00	-1.349170e-08
-3.480000000000000e+00	-1.349081e-08
-3.470000000000000e+00	-1.348992e-08
-3.460000000000000e+00	-1.348902e-08
-3.450000000000000e+00	-1.348813e-08
-3.440000000000000e+00	-1.348723e-08
-3.430000000000000e+00	-1.348634e-08
-3.420000000000000e+00	-1.348544e-08
-3.410000000000000e+00	-1.348454e-08
-3.400000000000000e+00	-1.348365e-08
-3.390000000000000e+00	-1.348275e-08
-3.380000000000000e+00	-1.348186e-08
-3.370000000000000e+00	-1.348096e-08
-3.360000000000000e+00	-1.348006e-08
-3.350000000000000e+00	-1.347916e-08
-3.340000000000000e+00	-1.347827e-08
-3.330000000000000e+00	-1.347737e-08
-3.320000000000000e+00	-1.347647e-08
-3.310000000000000e+00	-1.347557e-08
-3.300000000000000e+00	-1.347468e-08
-3.290000000000000e+00	-1.347378e-08
-3.280000000000000e+00	-1.347288e-08
-3.270000000000000e+00	-1.347198e-08
-3.260000000000000e+00	-1.347108e-08
-3.250000000000000e+00	-1.347018e-08
-3.240000000000000e+00	-1.346928e-08
-3.230000000000000e+00	-1.346838e-08
-3.220000000000000e+00	-1.346748e-08
-3.210000000000000e+00	-1.346658e-08
-3.200000000000000e+00	-1.346568e-08
-3.190000000000000e+00	-1.346478e-08
-3.180000000000000e+00	-1.346387e-08
-3.170000000000000e+00	-1.346297e-08
-3.160000000000000e+00	-1.346207e-08
-3.150000000000000e+00	-1.346116e-08
-3.140000000000000e+00	-1.346026e-08
-3.130000000000000e+00	-1.345936e-08
-3.120000000000000e+00	-1.345846e-08
-3.110000000000000e+00	-1.345755e-08
-3.100000000000000e+00	-1.345665e-08
-3.090000000000000e+00	-1.345574e-08
-3.080000000000000e+00	-1.345484e-08
-3.070000000000000e+00	-1.345393e-08
-3.060000000000000e+00	-1.345303e-08
-3.050000000000000e+00	-1.345212e-08
-3.040000000000000e+00	-1.345122e-08
-3.030000000000000e+00	-1.345031e-08
-3.020000000000000e+00	-1.344940e-08
-3.010000000000000e+00	-1.344850e-08
-3.000000000000000e+00	-1.344759e-08
-2.990000000000000e+00	-1.344668e-08
-2.980000000000000e+00	-1.344577e-08
-2.970000000000000e+00	-1.344486e-08
-2.960000000000000e+00	-1.344396e-08
-2.950000000000000e+00	-1.344305e-08
-2.940000000000000e+00	-1.344214e-08
-2.930000000000000e+00	-1.344123e-08
-2.920000000000000e+00	-1.344032e-08
-2.910000000000000e+00	-1.343941e-08
-2.900000000000000e+00	-1.343850e-08
-2.890000000000000e+00	-1.343759e-08
-2.880000000000000e+00	-1.343668e-08
-2.870000000000000e+00	-1.343577e-08
-2.860000000000000e+00	-1.343485e-08
-2.850000000000000e+00	-1.343394e-08
-2.840000000000000e+00	-1.343303e-08
-2.830000000000000e+00	-1.343211e-08
-2.820000000000000e+00	-1.343120e-08
-2.810000000000000e+00	-1.343029e-08
-2.800000000000000e+00	-1.342937e-08
-2.790000000000000e+00	-1.342846e-08
-2.780000000000000e+00	-1.342754e-08
-2.770000000000000e+00	-1.342663e-08
-2.760000000000000e+00	-1.342571e-08
-2.750000000000000e+00	-1.342480e-08
-2.740000000000000e+00	-1.342388e-08
-2.730000000000000e+00	-1.342297e-08
-2.720000000000000e+00	-1.342205e-08
-2.710000000000000e+00	-1.342113e-08
-2.700000000000000e+00	-1.342021e-08
-2.690000000000000e+00	-1.341930e-08
-2.680000000000000e+00	-1.341838e-08
-2.670000000000000e+00	-1.341746e-08
-2.660000000000000e+00	-1.341654e-08
-2.650000000000000e+00	-1.341562e-08
-2.640000000000000e+00	-1.341470e-08
-2.630000000000000e+00	-1.341378e-08
-2.620000000000000e+00	-1.341286e-08
-2.610000000000000e+00	-1.341194e-08
-2.600000000000000e+00	-1.341102e-08
-2.590000000000000e+00	-1.341010e-08
-2.580000000000000e+00	-1.340917e-08
-2.570000000000000e+00	-1.340825e-08
-2.560000000000000e+00	-1.340733e-08
-2.550000000000000e+00	-1.340640e-08
-2.540000000000000e+00	-1.340548e-08
-2.530000000000000e+00	-1.340456e-08
-2.520000000000000e+00	-1.340363e-08
-2.510000000000000e+00	-1.340271e-08
-2.500000000000000e+00	-1.340178e-08
-2.490000000000000e+00	-1.340086e-08
-2.480000000000000e+00	-1.339993e-08
-2.470000000000000e+00	-1.339900e-08
-2.460000000000000e+00	-1.339807e-08
-2.450000000000000e+00	-1.339715e-08
-2.440000000000000e+00	-1.339622e-08
-2.430000000000000e+00	-1.339529e-08
-2.420000000000000e+00	-1.339436e-08
-2.410000000000000e+00	-1.339343e-08
-2.400000000000000e+00	-1.339250e-08
-2.390000000000000e+00	-1.339157e-08
-2.380000000000000e+00	-1.339064e-08
-2.370000000000000e+00	-1.338971e-08
-2.360000000000000e+00	-1.338878e-08
-2.350000000000000e+00	-1.338784e-08
-2.340000000000000e+00	-1.338691e-08
-2.330000000000000e+00	-1.338598e-08
-2.320000000000000e+00	-1.338505e-08
-2.310000000000000e+00	-1.338411e-08
-2.300000000000000e+00	-1.338318e-08
-2.290000000000000e+00	-1.338224e-08
-2.280000000000000e+00	-1.338131e-08
-2.270000000000000e+00	-1.338037e-08
-2.260000000000000e+00	-1.337943e-08
-2.250000000000000e+00	-1.337850e-08
-2.240000000000000e+00	-1.337756e-08
-2.230000000000000e+00	-1.337662e-08
-2.220000000000000e+00	-1.337569e-08
-2.210000000000000e+00	-1.337475e-08
-2.200000000000000e+00	-1.337381e-08
