V1	I(D1)
-4.280000000000000e+00	-2.524281e-09
-4.270000000000000e+00	-2.524270e-09
-4.260000000000000e+00	-2.524261e-09
-4.250000000000000e+00	-2.524250e-09
-4.240000000000000e+00	-2.524241e-09
-4.230000000000000e+00	-2.524231e-09
-4.220000000000000e+00	-2.524220e-09
-4.210000000000000e+00	-2.524211e-09
-4.200000000000000e+00	-2.524200e-09
-4.190000000000000e+00	-2.524191e-09
-4.180000000000000e+00	-2.524181e-09
-4.170000000000000e+00	-2.524170e-09
-4.160000000000000e+00	-2.524161e-09
-4.150000000000000e+00	-2.524150e-09
-4.140000000000000e+00	-2.524140e-09
-4.130000000000000e+00	-2.524131e-09
-4.120000000000000e+00	-2.524120e-09
-4.110000000000000e+00	-2.524111e-09
-4.100000000000000e+00	-2.524100e-09
-4.090000000000000e+00	-2.524090e-09
-4.080000000000000e+00	-2.524081e-09
-4.070000000000000e+00	-2.524070e-09
-4.060000000000000e+00	-2.524061e-09
-4.050000000000000e+00	-2.524050e-09
-4.040000000000000e+00	-2.524041e-09
-4.030000000000000e+00	-2.524031e-09
-4.020000000000000e+00	-2.524020e-09
-4.010000000000000e+00	-2.524011e-09
-4.000000000000000e+00	-2.524001e-09
-3.990000000000000e+00	-2.523990e-09
-3.980000000000000e+00	-2.523980e-09
-3.970000000000000e+00	-2.523971e-09
-3.960000000000000e+00	-2.523961e-09
-3.950000000000000e+00	-2.523951e-09
-3.940000000000000e+00	-2.523940e-09
-3.930000000000000e+00	-2.523930e-09
-3.920000000000000e+00	-2.523921e-09
-3.910000000000000e+00	-2.523911e-09
-3.900000000000000e+00	-2.523900e-09
-3.890000000000000e+00	-2.523890e-09
-3.880000000000000e+00	-2.523880e-09
-3.870000000000000e+00	-2.523871e-09
-3.860000000000000e+00	-2.523861e-09
-3.850000000000000e+00	-2.523850e-09
-3.840000000000000e+00	-2.523840e-09
-3.830000000000000e+00	-2.523831e-09
-3.820000000000000e+00	-2.523821e-09
-3.810000000000000e+00	-2.523810e-09
-3.800000000000000e+00	-2.523801e-09
-3.790000000000000e+00	-2.523790e-09
-3.780000000000000e+00	-2.523781e-09
-3.770000000000000e+00	-2.523771e-09
-3.760000000000000e+00	-2.523761e-09
-3.750000000000000e+00	-2.523750e-09
-3.740000000000000e+00	-2.523740e-09
-3.730000000000000e+00	-2.523731e-09
-3.720000000000000e+00	-2.523721e-09
-3.710000000000000e+00	-2.523711e-09
-3.700000000000000e+00	-2.523700e-09
-3.690000000000000e+00	-2.523690e-09
-3.680000000000000e+00	-2.523681e-09
-3.670000000000000e+00	-2.523671e-09
-3.660000000000000e+00	-2.523660e-09
-3.650000000000000e+00	-2.523650e-09
-3.640000000000000e+00	-2.523640e-09
-3.630000000000000e+00	-2.523631e-09
-3.620000000000000e+00	-2.523621e-09
-3.610000000000000e+00	-2.523610e-09
-3.600000000000000e+00	-2.523600e-09
-3.590000000000000e+00	-2.523591e-09
-3.580000000000000e+00	-2.523581e-09
-3.570000000000000e+00	-2.523570e-09
-3.560000000000000e+00	-2.523560e-09
-3.550000000000000e+00	-2.523550e-09
-3.540000000000000e+00	-2.523541e-09
-3.530000000000000e+00	-2.523531e-09
-3.520000000000000e+00	-2.523521e-09
-3.510000000000000e+00	-2.523510e-09
-3.500000000000000e+00	-2.523500e-09
-3.490000000000000e+00	-2.523491e-09
-3.480000000000000e+00	-2.523481e-09
-3.470000000000000e+00	-2.523471e-09
-3.460000000000000e+00	-2.523460e-09
-3.450000000000000e+00	-2.523450e-09
-3.440000000000000e+00	-2.523441e-09
-3.430000000000000e+00	-2.523431e-09
-3.420000000000000e+00	-2.523420e-09
-3.410000000000000e+00	-2.523410e-09
-3.400000000000000e+00	-2.523400e-09
-3.390000000000000e+00	-2.523391e-09
-3.380000000000000e+00	-2.523381e-09
-3.370000000000000e+00	-2.523370e-09
-3.360000000000000e+00	-2.523360e-09
-3.350000000000000e+00	-2.523350e-09
-3.340000000000000e+00	-2.523341e-09
-3.330000000000000e+00	-2.523330e-09
-3.320000000000000e+00	-2.523320e-09
-3.310000000000000e+00	-2.523310e-09
-3.300000000000000e+00	-2.523301e-09
-3.290000000000000e+00	-2.523291e-09
-3.280000000000000e+00	-2.523280e-09
-3.270000000000000e+00	-2.523270e-09
-3.260000000000000e+00	-2.523260e-09
-3.250000000000000e+00	-2.523251e-09
-3.240000000000000e+00	-2.523241e-09
-3.230000000000000e+00	-2.523231e-09
-3.220000000000000e+00	-2.523220e-09
-3.210000000000000e+00	-2.523210e-09
-3.200000000000000e+00	-2.523201e-09
-3.190000000000000e+00	-2.523191e-09
-3.180000000000000e+00	-2.523180e-09
-3.170000000000000e+00	-2.523170e-09
-3.160000000000000e+00	-2.523160e-09
-3.150000000000000e+00	-2.523151e-09
-3.140000000000000e+00	-2.523141e-09
-3.130000000000000e+00	-2.523130e-09
-3.120000000000000e+00	-2.523120e-09
-3.110000000000000e+00	-2.523110e-09
-3.100000000000000e+00	-2.523101e-09
-3.090000000000000e+00	-2.523090e-09
-3.080000000000000e+00	-2.523080e-09
-3.070000000000000e+00	-2.523070e-09
-3.060000000000000e+00	-2.523061e-09
-3.050000000000000e+00	-2.523051e-09
