V1	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	9.998500e-03	7.498693e-09
2.000000000000000e-02	1.999667e-02	1.664618e-08
3.000000000000000e-02	2.999444e-02	2.780482e-08
4.000000000000000e-02	3.999172e-02	4.141655e-08
5.000000000000000e-02	4.998840e-02	5.802029e-08
6.000000000000000e-02	5.998434e-02	7.827318e-08
7.000000000000001e-02	6.997941e-02	1.029764e-07
8.000000000000000e-02	7.997338e-02	1.331068e-07
9.000000000000000e-02	8.996603e-02	1.698548e-07
1.000000000000000e-01	9.995706e-02	2.146712e-07
1.100000000000000e-01	1.099461e-01	2.693236e-07
1.200000000000000e-01	1.199328e-01	3.359652e-07
1.300000000000000e-01	1.299166e-01	4.172171e-07
1.400000000000000e-01	1.398968e-01	5.162699e-07
1.500000000000000e-01	1.498726e-01	6.370045e-07
1.600000000000000e-01	1.598432e-01	7.841386e-07
1.700000000000000e-01	1.698073e-01	9.634030e-07
1.800000000000000e-01	1.797636e-01	1.181752e-06
1.900000000000000e-01	1.897105e-01	1.447617e-06
2.000000000000000e-01	1.996458e-01	1.771201e-06
2.100000000000000e-01	2.095670e-01	2.164837e-06
2.200000000000000e-01	2.194713e-01	2.643396e-06
2.300000000000000e-01	2.293551e-01	3.224768e-06
2.400000000000000e-01	2.392139e-01	3.930411e-06
2.500000000000000e-01	2.490428e-01	4.785965e-06
2.600000000000000e-01	2.588356e-01	5.821935e-06
2.700000000000000e-01	2.685851e-01	7.074425e-06
2.800000000000000e-01	2.782828e-01	8.585891e-06
2.900000000000000e-01	2.879188e-01	1.040588e-05
3.000000000000000e-01	2.974817e-01	1.259171e-05
3.100000000000000e-01	3.069582e-01	1.520893e-05
3.200000000000000e-01	3.163337e-01	1.833163e-05
3.300000000000000e-01	3.255916e-01	2.204223e-05
3.400000000000000e-01	3.347138e-01	2.643086e-05
3.500000000000000e-01	3.436812e-01	3.159407e-05
3.600000000000000e-01	3.524734e-01	3.763285e-05
