V1	Ix(D1:+)
-4.480000000000000e+00	-3.053421e-03
-4.470000000000000e+00	-3.005468e-03
-4.460000000000000e+00	-2.957547e-03
-4.450000000000000e+00	-2.909658e-03
-4.440000000000000e+00	-2.861803e-03
-4.430000000000000e+00	-2.813982e-03
-4.420000000000000e+00	-2.766197e-03
-4.410000000000000e+00	-2.718449e-03
-4.400000000000000e+00	-2.670739e-03
-4.390000000000000e+00	-2.623068e-03
-4.380000000000000e+00	-2.575438e-03
-4.370000000000000e+00	-2.527850e-03
-4.360000000000000e+00	-2.480305e-03
-4.350000000000000e+00	-2.432806e-03
-4.340000000000000e+00	-2.385353e-03
-4.330000000000000e+00	-2.337949e-03
-4.320000000000000e+00	-2.290596e-03
-4.310000000000000e+00	-2.243294e-03
-4.300000000000000e+00	-2.196047e-03
-4.290000000000000e+00	-2.148856e-03
-4.280000000000000e+00	-2.101725e-03
-4.270000000000000e+00	-2.054654e-03
-4.260000000000000e+00	-2.007647e-03
-4.250000000000000e+00	-1.960706e-03
-4.240000000000000e+00	-1.913836e-03
-4.230000000000000e+00	-1.867037e-03
-4.220000000000000e+00	-1.820315e-03
-4.210000000000000e+00	-1.773672e-03
-4.200000000000000e+00	-1.727112e-03
-4.190000000000000e+00	-1.680640e-03
-4.180000000000000e+00	-1.634259e-03
-4.170000000000000e+00	-1.587974e-03
-4.160000000000000e+00	-1.541791e-03
-4.150000000000000e+00	-1.495715e-03
-4.140000000000000e+00	-1.449752e-03
-4.130000000000000e+00	-1.403907e-03
-4.120000000000000e+00	-1.358189e-03
-4.110000000000000e+00	-1.312604e-03
-4.100000000000000e+00	-1.267161e-03
-4.090000000000000e+00	-1.221868e-03
-4.080000000000000e+00	-1.176735e-03
-4.070000000000000e+00	-1.131774e-03
-4.060000000000000e+00	-1.086995e-03
-4.050000000000000e+00	-1.042411e-03
-4.040000000000000e+00	-9.980367e-04
-4.030000000000000e+00	-9.538880e-04
-4.020000000000000e+00	-9.099821e-04
-4.010000000000000e+00	-8.663385e-04
-4.000000000000000e+00	-8.229789e-04
-3.990000000000000e+00	-7.799277e-04
-3.980000000000000e+00	-7.372122e-04
-3.970000000000000e+00	-6.948634e-04
-3.960000000000000e+00	-6.529164e-04
-3.950000000000000e+00	-6.114108e-04
-3.940000000000000e+00	-5.703922e-04
-3.930000000000000e+00	-5.299127e-04
-3.920000000000000e+00	-4.900319e-04
-3.910000000000000e+00	-4.508190e-04
-3.900000000000000e+00	-4.123536e-04
-3.890000000000000e+00	-3.747284e-04
-3.880000000000000e+00	-3.380508e-04
-3.870000000000000e+00	-3.024453e-04
-3.860000000000000e+00	-2.680566e-04
-3.850000000000000e+00	-2.350510e-04
-3.840000000000000e+00	-2.036180e-04
-3.830000000000000e+00	-1.739703e-04
-3.820000000000000e+00	-1.463392e-04
-3.810000000000000e+00	-1.209658e-04
-3.800000000000000e+00	-9.808353e-05
-3.790000000000000e+00	-7.789164e-05
-3.780000000000000e+00	-6.052115e-05
-3.770000000000000e+00	-4.599955e-05
-3.760000000000000e+00	-3.422693e-05
-3.750000000000000e+00	-2.497564e-05
-3.740000000000000e+00	-1.791844e-05
-3.730000000000000e+00	-1.267626e-05
-3.720000000000000e+00	-8.868832e-06
-3.710000000000000e+00	-6.152868e-06
-3.700000000000000e+00	-4.242143e-06
-3.690000000000000e+00	-2.911687e-06
-3.680000000000000e+00	-1.992161e-06
-3.670000000000000e+00	-1.360001e-06
-3.660000000000000e+00	-9.270117e-07
-3.650000000000000e+00	-6.312058e-07
-3.640000000000000e+00	-4.294781e-07
-3.630000000000000e+00	-2.920759e-07
-3.620000000000000e+00	-1.985655e-07
-3.610000000000000e+00	-1.349623e-07
-3.600000000000000e+00	-9.171805e-08
-3.590000000000000e+00	-6.232367e-08
-3.580000000000000e+00	-4.234707e-08
-3.570000000000000e+00	-2.877251e-08
-3.560000000000000e+00	-1.954904e-08
-3.550000000000000e+00	-1.328236e-08
-3.540000000000000e+00	-9.024755e-09
-3.530000000000000e+00	-6.132204e-09
-3.520000000000000e+00	-4.167081e-09
-3.510000000000000e+00	-2.832044e-09
-3.500000000000000e+00	-1.925073e-09
-3.490000000000000e+00	-1.308914e-09
-3.480000000000000e+00	-8.903213e-10
-3.470000000000000e+00	-6.059473e-10
-3.460000000000000e+00	-4.127549e-10
-3.450000000000000e+00	-2.815066e-10
-3.440000000000000e+00	-1.923402e-10
-3.430000000000000e+00	-1.317620e-10
-3.420000000000000e+00	-9.060518e-11
-3.410000000000000e+00	-6.264219e-11
-3.400000000000000e+00	-4.364241e-11
-3.390000000000000e+00	-3.073176e-11
-3.380000000000000e+00	-2.195775e-11
-3.370000000000000e+00	-1.599394e-11
-3.360000000000000e+00	-1.193924e-11
-3.350000000000000e+00	-9.181485e-12
-3.340000000000000e+00	-7.304808e-12
-3.330000000000000e+00	-6.026686e-12
-3.320000000000000e+00	-5.155191e-12
-3.310000000000000e+00	-4.559938e-12
-3.300000000000000e+00	-4.152348e-12
-3.290000000000000e+00	-3.872246e-12
-3.280000000000000e+00	-3.678753e-12
-3.270000000000000e+00	-3.544099e-12
-3.260000000000000e+00	-3.449415e-12
-3.250000000000000e+00	-3.381885e-12
-3.240000000000000e+00	-3.332802e-12
-3.230000000000000e+00	-3.296251e-12
-3.220000000000000e+00	-3.268214e-12
-3.210000000000000e+00	-3.245961e-12
-3.200000000000000e+00	-3.227636e-12
-3.190000000000000e+00	-3.211981e-12
-3.180000000000000e+00	-3.198139e-12
-3.170000000000000e+00	-3.185530e-12
-3.160000000000000e+00	-3.173756e-12
-3.150000000000000e+00	-3.162552e-12
-3.140000000000000e+00	-3.151734e-12
-3.130000000000000e+00	-3.141178e-12
-3.120000000000000e+00	-3.130800e-12
-3.110000000000000e+00	-3.120544e-12
-3.100000000000000e+00	-3.110369e-12
-3.090000000000000e+00	-3.100251e-12
-3.080000000000000e+00	-3.090170e-12
-3.070000000000000e+00	-3.080116e-12
-3.060000000000000e+00	-3.070079e-12
-3.050000000000000e+00	-3.060054e-12
-3.040000000000000e+00	-3.050036e-12
-3.030000000000000e+00	-3.040025e-12
-3.020000000000000e+00	-3.030017e-12
-3.010000000000000e+00	-3.020011e-12
-3.000000000000000e+00	-3.010008e-12
-2.990000000000000e+00	-3.000005e-12
-2.980000000000000e+00	-2.990004e-12
-2.970000000000000e+00	-2.980003e-12
-2.960000000000000e+00	-2.970002e-12
-2.950000000000000e+00	-2.960001e-12
-2.940000000000000e+00	-2.950001e-12
-2.930000000000000e+00	-2.940000e-12
-2.920000000000000e+00	-2.930000e-12
-2.910000000000000e+00	-2.920000e-12
-2.900000000000000e+00	-2.910000e-12
-2.890000000000000e+00	-2.900000e-12
-2.880000000000000e+00	-2.890000e-12
-2.870000000000000e+00	-2.880000e-12
-2.860000000000000e+00	-2.870000e-12
-2.850000000000000e+00	-2.860000e-12
-2.840000000000000e+00	-2.850000e-12
-2.830000000000000e+00	-2.840000e-12
-2.820000000000000e+00	-2.830000e-12
-2.810000000000000e+00	-2.820000e-12
-2.800000000000000e+00	-2.810000e-12
-2.790000000000000e+00	-2.800000e-12
-2.780000000000000e+00	-2.790000e-12
-2.770000000000000e+00	-2.780000e-12
-2.760000000000000e+00	-2.770000e-12
-2.750000000000000e+00	-2.760000e-12
-2.740000000000000e+00	-2.750000e-12
-2.730000000000000e+00	-2.740000e-12
-2.720000000000000e+00	-2.730000e-12
-2.710000000000000e+00	-2.720000e-12
-2.700000000000000e+00	-2.710000e-12
