time	V(N003,N002)
1.114052869493141e-02	3.468276e+00
1.138466931993141e-02	3.466527e+00
1.162880994493141e-02	3.464778e+00
1.187295056993141e-02	3.463031e+00
1.211709119493141e-02	3.461285e+00
1.236123181993141e-02	3.459539e+00
1.260537244493141e-02	3.457795e+00
1.284951306993141e-02	3.456052e+00
1.309365369493141e-02	3.454314e+00
1.329502561339228e-02	3.452897e+00
1.343292541548509e-02	3.451960e+00
1.355359096093310e-02	3.451215e+00
1.368314393596306e-02	3.450592e+00
1.380178932285443e-02	3.450378e+00
1.393266779797148e-02	3.450961e+00
1.408157343073556e-02	3.453591e+00
1.428510020439739e-02	3.461571e+00
1.448867805203080e-02	3.475047e+00
1.470783289632243e-02	3.494569e+00
1.491506456562053e-02	3.514573e+00
1.515920519062053e-02	3.535582e+00
1.540334581562053e-02	3.551157e+00
1.559664693598181e-02	3.558545e+00
1.580851930326582e-02	3.562230e+00
1.600868993790636e-02	3.563223e+00
1.612339865033095e-02	3.563023e+00
1.621688640444588e-02	3.562574e+00
1.631012685453298e-02	3.562015e+00
1.640221553406736e-02	3.561405e+00
1.650066767204152e-02	3.560718e+00
1.659410115099609e-02	3.560048e+00
1.669413542721787e-02	3.559321e+00
1.680381307160351e-02	3.558518e+00
1.694048954416523e-02	3.557516e+00
1.713034794892014e-02	3.556121e+00
1.737448857392014e-02	3.554328e+00
1.761862919892014e-02	3.552535e+00
1.786276982392014e-02	3.550744e+00
1.810691044892014e-02	3.548953e+00
1.835105107392014e-02	3.547164e+00
1.859519169892014e-02	3.545375e+00
1.883933232392014e-02	3.543587e+00
1.908347294892014e-02	3.541800e+00
1.932761357392014e-02	3.540014e+00
1.957175419892014e-02	3.538229e+00
1.981589482392014e-02	3.536444e+00
2.006003544892014e-02	3.534661e+00
2.030417607392014e-02	3.532878e+00
2.054831669892014e-02	3.531097e+00
2.079245732392014e-02	3.529316e+00
2.103659794892014e-02	3.527536e+00
2.128073857392014e-02	3.525757e+00
2.152487919892014e-02	3.523979e+00
2.176901982392014e-02	3.522202e+00
2.201316044892014e-02	3.520426e+00
2.225730107392014e-02	3.518650e+00
2.250144169892014e-02	3.516876e+00
2.274558232392014e-02	3.515103e+00
2.298972294892014e-02	3.513331e+00
2.323386357392014e-02	3.511574e+00
2.347800419892014e-02	3.509897e+00
2.372214482392014e-02	3.508550e+00
2.393375192511835e-02	3.508320e+00
2.414874650823021e-02	3.510378e+00
2.437622243500395e-02	3.516770e+00
2.462036306000395e-02	3.528901e+00
2.484025581213211e-02	3.543220e+00
2.505569086093188e-02	3.557613e+00
2.529983148593188e-02	3.571179e+00
2.549886035061022e-02	3.578727e+00
2.568116910614693e-02	3.582429e+00
