V1	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	9.982901e-03	8.549512e-08
2.000000000000000e-02	1.996250e-02	1.875282e-07
3.000000000000000e-02	2.993814e-02	3.092825e-07
4.000000000000000e-02	3.990909e-02	4.545476e-07
5.000000000000000e-02	4.987443e-02	6.278316e-07
6.000000000000000e-02	5.983310e-02	8.344941e-07
7.000000000000001e-02	6.978382e-02	1.080900e-06
8.000000000000000e-02	7.972508e-02	1.374603e-06
9.000000000000000e-02	8.965509e-02	1.724552e-06
1.000000000000000e-01	9.957173e-02	2.141339e-06
1.100000000000000e-01	1.094725e-01	2.637471e-06
1.200000000000000e-01	1.193545e-01	3.227694e-06
1.300000000000000e-01	1.292141e-01	3.929344e-06
1.400000000000000e-01	1.390474e-01	4.762746e-06
1.500000000000000e-01	1.488497e-01	5.751645e-06
1.600000000000000e-01	1.586153e-01	6.923667e-06
1.700000000000000e-01	1.683378e-01	8.310801e-06
1.800000000000000e-01	1.780100e-01	9.949877e-06
1.900000000000000e-01	1.876234e-01	1.188302e-05
2.000000000000000e-01	1.971684e-01	1.415803e-05
2.100000000000000e-01	2.066343e-01	1.682866e-05
2.200000000000000e-01	2.160091e-01	1.995473e-05
2.300000000000000e-01	2.252796e-01	2.360202e-05
2.400000000000000e-01	2.344316e-01	2.784180e-05
2.500000000000000e-01	2.434500e-01	3.275015e-05
2.600000000000000e-01	2.523187e-01	3.840669e-05
2.700000000000000e-01	2.610214e-01	4.489310e-05
2.800000000000000e-01	2.695418e-01	5.229112e-05
2.900000000000000e-01	2.778639e-01	6.068034e-05
3.000000000000000e-01	2.859728e-01	7.013579e-05
3.100000000000000e-01	2.938549e-01	8.072557e-05
3.200000000000000e-01	3.014983e-01	9.250860e-05
3.300000000000000e-01	3.088934e-01	1.055329e-04
3.400000000000000e-01	3.160332e-01	1.198341e-04
3.500000000000000e-01	3.229130e-01	1.354351e-04
3.600000000000000e-01	3.295309e-01	1.523457e-04
3.700000000000000e-01	3.358873e-01	1.705634e-04
3.800000000000000e-01	3.419852e-01	1.900742e-04
3.900000000000000e-01	3.478292e-01	2.108542e-04
4.000000000000000e-01	3.534258e-01	2.328711e-04
4.100000000000000e-01	3.587828e-01	2.560859e-04
