V1	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	9.999647e-03	1.764493e-09
2.000000000000000e-02	1.999921e-02	3.944569e-09
3.000000000000000e-02	2.999867e-02	6.638099e-09
4.000000000000000e-02	3.999801e-02	9.965998e-09
5.000000000000000e-02	4.999718e-02	1.407764e-08
6.000000000000000e-02	5.999617e-02	1.915758e-08
7.000000000000001e-02	6.999491e-02	2.543378e-08
8.000000000000000e-02	7.999336e-02	3.318786e-08
9.000000000000000e-02	8.999144e-02	4.276768e-08
1.000000000000000e-01	9.998908e-02	5.460295e-08
1.100000000000000e-01	1.099862e-01	6.922433e-08
1.200000000000000e-01	1.199825e-01	8.728725e-08
1.300000000000000e-01	1.299781e-01	1.096010e-07
1.400000000000000e-01	1.399726e-01	1.371649e-07
1.500000000000000e-01	1.499658e-01	1.712126e-07
1.600000000000000e-01	1.599573e-01	2.132664e-07
1.700000000000000e-01	1.699470e-01	2.652053e-07
1.800000000000000e-01	1.799341e-01	3.293467e-07
1.900000000000000e-01	1.899183e-01	4.085484e-07
2.000000000000000e-01	1.998987e-01	5.063324e-07
2.100000000000000e-01	2.098746e-01	6.270374e-07
2.200000000000000e-01	2.198448e-01	7.760040e-07
2.300000000000000e-01	2.298080e-01	9.598001e-07
2.400000000000000e-01	2.397627e-01	1.186495e-06
2.500000000000000e-01	2.497068e-01	1.465987e-06
2.600000000000000e-01	2.596379e-01	1.810404e-06
2.700000000000000e-01	2.695531e-01	2.234567e-06
2.800000000000000e-01	2.794487e-01	2.756552e-06
2.900000000000000e-01	2.893203e-01	3.398330e-06
3.000000000000000e-01	2.991627e-01	4.186517e-06
3.100000000000000e-01	3.089693e-01	5.153199e-06
3.200000000000000e-01	3.187326e-01	6.336850e-06
3.300000000000000e-01	3.284433e-01	7.783291e-06
3.400000000000000e-01	3.380907e-01	9.546651e-06
3.500000000000000e-01	3.476619e-01	1.169024e-05
3.600000000000000e-01	3.571425e-01	1.428725e-05
3.700000000000000e-01	3.665158e-01	1.742108e-05
3.800000000000000e-01	3.757630e-01	2.118519e-05
3.900000000000000e-01	3.848636e-01	2.568224e-05
4.000000000000000e-01	3.937955e-01	3.102236e-05
4.100000000000000e-01	4.025359e-01	3.732051e-05
4.200000000000000e-01	4.110614e-01	4.469282e-05
4.300000000000000e-01	4.193496e-01	5.325226e-05
4.400000000000000e-01	4.273793e-01	6.310381e-05
4.500000000000000e-01	4.351321e-01	7.433970e-05
4.600000000000000e-01	4.425929e-01	8.703531e-05
4.700000000000000e-01	4.497508e-01	1.012460e-04
4.800000000000000e-01	4.565989e-01	1.170054e-04
4.900000000000000e-01	4.631349e-01	1.343255e-04
5.000000000000000e-01	4.693605e-01	1.531974e-04
5.100000000000000e-01	4.752812e-01	1.735940e-04
5.200000000000000e-01	4.809054e-01	1.954730e-04
5.300000000000000e-01	4.862440e-01	2.187800e-04
5.400000000000000e-01	4.913096e-01	2.434521e-04
5.500000000000000e-01	4.961159e-01	2.694205e-04
5.600000000000001e-01	5.006773e-01	2.966136e-04
5.700000000000001e-01	5.050082e-01	3.249590e-04
5.800000000000000e-01	5.091230e-01	3.543849e-04
5.900000000000000e-01	5.130357e-01	3.848215e-04
6.000000000000000e-01	5.167596e-01	4.162020e-04
6.100000000000000e-01	5.203074e-01	4.484631e-04
6.200000000000000e-01	5.236910e-01	4.815450e-04
6.300000000000000e-01	5.269216e-01	5.153918e-04
6.400000000000000e-01	5.300097e-01	5.499516e-04
6.500000000000000e-01	5.329648e-01	5.851762e-04
6.600000000000000e-01	5.357958e-01	6.210209e-04
6.700000000000000e-01	5.385111e-01	6.574445e-04
6.800000000000000e-01	5.411182e-01	6.944090e-04
6.900000000000001e-01	5.436241e-01	7.318793e-04
7.000000000000001e-01	5.460353e-01	7.698233e-04
7.100000000000000e-01	5.483578e-01	8.082112e-04
7.200000000000000e-01	5.505969e-01	8.470155e-04
7.300000000000000e-01	5.527578e-01	8.862109e-04
7.400000000000000e-01	5.548452e-01	9.257742e-04
7.500000000000000e-01	5.568632e-01	9.656838e-04
7.600000000000000e-01	5.588160e-01	1.005920e-03
7.700000000000000e-01	5.607072e-01	1.046464e-03
7.800000000000000e-01	5.625402e-01	1.087299e-03
7.900000000000000e-01	5.643181e-01	1.128410e-03
8.000000000000000e-01	5.660439e-01	1.169780e-03
8.100000000000001e-01	5.677204e-01	1.211398e-03
8.200000000000001e-01	5.693499e-01	1.253250e-03
8.300000000000001e-01	5.709350e-01	1.295325e-03
8.400000000000000e-01	5.724778e-01	1.337611e-03
8.500000000000000e-01	5.739802e-01	1.380099e-03
8.600000000000000e-01	5.754444e-01	1.422778e-03
8.700000000000000e-01	5.768720e-01	1.465640e-03
8.800000000000000e-01	5.782647e-01	1.508677e-03
8.900000000000000e-01	5.796241e-01	1.551880e-03
9.000000000000000e-01	5.809516e-01	1.595242e-03
9.100000000000000e-01	5.822487e-01	1.638757e-03
9.200000000000000e-01	5.835166e-01	1.682417e-03
9.300000000000000e-01	5.847566e-01	1.726217e-03
9.400000000000001e-01	5.859697e-01	1.770151e-03
9.500000000000001e-01	5.871572e-01	1.814214e-03
9.600000000000000e-01	5.883200e-01	1.858400e-03
9.700000000000000e-01	5.894590e-01	1.902705e-03
9.800000000000000e-01	5.905753e-01	1.947124e-03
9.900000000000000e-01	5.916696e-01	1.991652e-03
1.000000000000000e+00	5.927427e-01	2.036286e-03
1.010000000000000e+00	5.937955e-01	2.081022e-03
1.020000000000000e+00	5.948288e-01	2.125856e-03
1.030000000000000e+00	5.958431e-01	2.170785e-03
1.040000000000000e+00	5.968391e-01	2.215805e-03
1.050000000000000e+00	5.978175e-01	2.260912e-03
1.060000000000000e+00	5.987789e-01	2.306106e-03
1.070000000000000e+00	5.997238e-01	2.351381e-03
1.080000000000000e+00	6.006528e-01	2.396736e-03
1.090000000000000e+00	6.015664e-01	2.442168e-03
1.100000000000000e+00	6.024652e-01	2.487674e-03
1.110000000000000e+00	6.033494e-01	2.533253e-03
1.120000000000000e+00	6.042197e-01	2.578902e-03
1.130000000000000e+00	6.050764e-01	2.624618e-03
1.140000000000000e+00	6.059200e-01	2.670400e-03
1.150000000000000e+00	6.067508e-01	2.716246e-03
1.160000000000000e+00	6.075693e-01	2.762154e-03
1.170000000000000e+00	6.083757e-01	2.808121e-03
1.180000000000000e+00	6.091704e-01	2.854148e-03
1.190000000000000e+00	6.099539e-01	2.900230e-03
1.200000000000000e+00	6.107263e-01	2.946369e-03
1.210000000000000e+00	6.114880e-01	2.992560e-03
1.220000000000000e+00	6.122392e-01	3.038804e-03
1.230000000000000e+00	6.129804e-01	3.085098e-03
1.240000000000000e+00	6.137116e-01	3.131442e-03
1.250000000000000e+00	6.144332e-01	3.177834e-03
1.260000000000000e+00	6.151455e-01	3.224273e-03
1.270000000000000e+00	6.158487e-01	3.270757e-03
1.280000000000000e+00	6.165429e-01	3.317286e-03
1.290000000000000e+00	6.172284e-01	3.363858e-03
1.300000000000000e+00	6.179056e-01	3.410472e-03
1.310000000000000e+00	6.185745e-01	3.457128e-03
1.320000000000000e+00	6.192353e-01	3.503823e-03
1.330000000000000e+00	6.198883e-01	3.550559e-03
1.340000000000000e+00	6.205336e-01	3.597332e-03
1.350000000000000e+00	6.211715e-01	3.644143e-03
1.360000000000000e+00	6.218020e-01	3.690990e-03
1.370000000000000e+00	6.224254e-01	3.737873e-03
1.380000000000000e+00	6.230417e-01	3.784791e-03
1.390000000000000e+00	6.236513e-01	3.831743e-03
1.400000000000000e+00	6.242542e-01	3.878729e-03
1.410000000000000e+00	6.248506e-01	3.925747e-03
1.420000000000000e+00	6.254405e-01	3.972797e-03
1.430000000000000e+00	6.260243e-01	4.019878e-03
1.440000000000000e+00	6.266019e-01	4.066990e-03
1.450000000000000e+00	6.271735e-01	4.114132e-03
1.460000000000000e+00	6.277393e-01	4.161303e-03
1.470000000000000e+00	6.282994e-01	4.208503e-03
1.480000000000000e+00	6.288538e-01	4.255731e-03
1.490000000000000e+00	6.294027e-01	4.302986e-03
1.500000000000000e+00	6.299462e-01	4.350269e-03
1.510000000000000e+00	6.304845e-01	4.397578e-03
1.520000000000000e+00	6.310176e-01	4.444912e-03
1.530000000000000e+00	6.315455e-01	4.492272e-03
1.540000000000000e+00	6.320685e-01	4.539657e-03
1.550000000000000e+00	6.325867e-01	4.587067e-03
1.560000000000000e+00	6.331000e-01	4.634500e-03
1.570000000000000e+00	6.336086e-01	4.681957e-03
1.580000000000000e+00	6.341126e-01	4.729437e-03
1.590000000000000e+00	6.346120e-01	4.776940e-03
1.600000000000000e+00	6.351071e-01	4.824465e-03
1.610000000000000e+00	6.355978e-01	4.872011e-03
1.620000000000000e+00	6.360841e-01	4.919579e-03
1.630000000000000e+00	6.365663e-01	4.967168e-03
1.640000000000000e+00	6.370443e-01	5.014778e-03
1.650000000000000e+00	6.375183e-01	5.062408e-03
1.660000000000000e+00	6.379883e-01	5.110058e-03
1.670000000000000e+00	6.384544e-01	5.157728e-03
1.680000000000000e+00	6.389166e-01	5.205417e-03
1.690000000000000e+00	6.393750e-01	5.253125e-03
1.700000000000000e+00	6.398297e-01	5.300852e-03
1.710000000000000e+00	6.402808e-01	5.348596e-03
1.720000000000000e+00	6.407282e-01	5.396359e-03
1.730000000000000e+00	6.411721e-01	5.444139e-03
1.740000000000000e+00	6.416125e-01	5.491938e-03
1.750000000000000e+00	6.420496e-01	5.539752e-03
1.760000000000000e+00	6.424832e-01	5.587584e-03
1.770000000000000e+00	6.429135e-01	5.635432e-03
1.780000000000000e+00	6.433405e-01	5.683297e-03
1.790000000000000e+00	6.437644e-01	5.731178e-03
1.800000000000000e+00	6.441851e-01	5.779075e-03
1.810000000000000e+00	6.446026e-01	5.826987e-03
1.820000000000000e+00	6.450171e-01	5.874915e-03
1.830000000000000e+00	6.454286e-01	5.922857e-03
1.840000000000000e+00	6.458371e-01	5.970815e-03
1.850000000000000e+00	6.462427e-01	6.018787e-03
1.860000000000000e+00	6.466454e-01	6.066773e-03
1.870000000000000e+00	6.470453e-01	6.114774e-03
1.880000000000000e+00	6.474423e-01	6.162789e-03
1.890000000000000e+00	6.478366e-01	6.210817e-03
1.900000000000000e+00	6.482282e-01	6.258859e-03
1.910000000000000e+00	6.486171e-01	6.306915e-03
1.920000000000000e+00	6.490034e-01	6.354983e-03
1.930000000000000e+00	6.493871e-01	6.403065e-03
