V1	V(N002,N003)	I(D1)
-3.940000000000000e+00	-3.940000e+00	-2.523940e-09
-3.930000000000000e+00	-3.930000e+00	-2.523930e-09
-3.920000000000000e+00	-3.920000e+00	-2.523920e-09
-3.910000000000000e+00	-3.910000e+00	-2.523910e-09
-3.900000000000000e+00	-3.899999e+00	-2.523900e-09
-3.890000000000000e+00	-3.889999e+00	-2.523890e-09
-3.880000000000000e+00	-3.879999e+00	-2.523880e-09
-3.870000000000000e+00	-3.869999e+00	-2.523870e-09
-3.860000000000000e+00	-3.859999e+00	-2.523860e-09
-3.850000000000000e+00	-3.849999e+00	-2.523850e-09
-3.840000000000000e+00	-3.839999e+00	-2.523840e-09
-3.830000000000000e+00	-3.829999e+00	-2.523830e-09
-3.820000000000000e+00	-3.819999e+00	-2.523820e-09
-3.810000000000000e+00	-3.809999e+00	-2.523810e-09
-3.800000000000000e+00	-3.799999e+00	-2.523800e-09
-3.790000000000000e+00	-3.789999e+00	-2.523790e-09
-3.780000000000000e+00	-3.779999e+00	-2.523780e-09
-3.770000000000000e+00	-3.770000e+00	-2.523770e-09
-3.760000000000000e+00	-3.760000e+00	-2.523760e-09
-3.750000000000000e+00	-3.750000e+00	-2.523750e-09
-3.740000000000000e+00	-3.740000e+00	-2.523740e-09
-3.730000000000000e+00	-3.730000e+00	-2.523730e-09
-3.720000000000000e+00	-3.720000e+00	-2.523720e-09
-3.710000000000000e+00	-3.710000e+00	-2.523710e-09
-3.700000000000000e+00	-3.700000e+00	-2.523700e-09
-3.690000000000000e+00	-3.690000e+00	-2.523690e-09
-3.680000000000000e+00	-3.680000e+00	-2.523680e-09
-3.670000000000000e+00	-3.670000e+00	-2.523670e-09
-3.660000000000000e+00	-3.660000e+00	-2.523660e-09
-3.650000000000000e+00	-3.649999e+00	-2.523650e-09
-3.640000000000000e+00	-3.639999e+00	-2.523640e-09
-3.630000000000000e+00	-3.629999e+00	-2.523630e-09
-3.620000000000000e+00	-3.619999e+00	-2.523620e-09
-3.610000000000000e+00	-3.609999e+00	-2.523610e-09
-3.600000000000000e+00	-3.599999e+00	-2.523600e-09
-3.590000000000000e+00	-3.589999e+00	-2.523590e-09
-3.580000000000000e+00	-3.579999e+00	-2.523580e-09
-3.570000000000000e+00	-3.569999e+00	-2.523570e-09
-3.560000000000000e+00	-3.559999e+00	-2.523560e-09
-3.550000000000000e+00	-3.549999e+00	-2.523550e-09
-3.540000000000000e+00	-3.539999e+00	-2.523540e-09
-3.530000000000000e+00	-3.529999e+00	-2.523530e-09
-3.520000000000000e+00	-3.520000e+00	-2.523520e-09
-3.510000000000000e+00	-3.510000e+00	-2.523510e-09
-3.500000000000000e+00	-3.500000e+00	-2.523500e-09
-3.490000000000000e+00	-3.490000e+00	-2.523490e-09
-3.480000000000000e+00	-3.480000e+00	-2.523480e-09
-3.470000000000000e+00	-3.470000e+00	-2.523470e-09
-3.460000000000000e+00	-3.460000e+00	-2.523460e-09
-3.450000000000000e+00	-3.450000e+00	-2.523450e-09
-3.440000000000000e+00	-3.440000e+00	-2.523440e-09
-3.430000000000000e+00	-3.430000e+00	-2.523430e-09
-3.420000000000000e+00	-3.420000e+00	-2.523420e-09
-3.410000000000000e+00	-3.410000e+00	-2.523410e-09
-3.400000000000000e+00	-3.399999e+00	-2.523400e-09
-3.390000000000000e+00	-3.389999e+00	-2.523390e-09
-3.380000000000000e+00	-3.379999e+00	-2.523380e-09
-3.370000000000000e+00	-3.369999e+00	-2.523370e-09
-3.360000000000000e+00	-3.359999e+00	-2.523360e-09
-3.350000000000000e+00	-3.349999e+00	-2.523350e-09
-3.340000000000000e+00	-3.339999e+00	-2.523340e-09
-3.330000000000000e+00	-3.329999e+00	-2.523330e-09
-3.320000000000000e+00	-3.319999e+00	-2.523320e-09
-3.310000000000000e+00	-3.309999e+00	-2.523310e-09
-3.300000000000000e+00	-3.299999e+00	-2.523300e-09
-3.290000000000000e+00	-3.289999e+00	-2.523290e-09
-3.280000000000000e+00	-3.279999e+00	-2.523280e-09
-3.270000000000000e+00	-3.270000e+00	-2.523270e-09
-3.260000000000000e+00	-3.260000e+00	-2.523260e-09
-3.250000000000000e+00	-3.250000e+00	-2.523250e-09
-3.240000000000000e+00	-3.240000e+00	-2.523240e-09
-3.230000000000000e+00	-3.230000e+00	-2.523230e-09
-3.220000000000000e+00	-3.220000e+00	-2.523220e-09
-3.210000000000000e+00	-3.210000e+00	-2.523210e-09
-3.200000000000000e+00	-3.200000e+00	-2.523200e-09
-3.190000000000000e+00	-3.190000e+00	-2.523190e-09
-3.180000000000000e+00	-3.180000e+00	-2.523180e-09
-3.170000000000000e+00	-3.170000e+00	-2.523170e-09
-3.160000000000000e+00	-3.160000e+00	-2.523160e-09
-3.150000000000000e+00	-3.149999e+00	-2.523150e-09
-3.140000000000000e+00	-3.139999e+00	-2.523140e-09
-3.130000000000000e+00	-3.129999e+00	-2.523130e-09
-3.120000000000000e+00	-3.119999e+00	-2.523120e-09
-3.110000000000000e+00	-3.109999e+00	-2.523110e-09
-3.100000000000000e+00	-3.099999e+00	-2.523100e-09
-3.090000000000000e+00	-3.089999e+00	-2.523090e-09
-3.080000000000000e+00	-3.079999e+00	-2.523080e-09
-3.070000000000000e+00	-3.069999e+00	-2.523070e-09
-3.060000000000000e+00	-3.059999e+00	-2.523060e-09
-3.050000000000000e+00	-3.049999e+00	-2.523050e-09
-3.040000000000000e+00	-3.039999e+00	-2.523040e-09
-3.030000000000000e+00	-3.029999e+00	-2.523030e-09
-3.020000000000000e+00	-3.020000e+00	-2.523020e-09
-3.010000000000000e+00	-3.010000e+00	-2.523010e-09
-3.000000000000000e+00	-3.000000e+00	-2.523000e-09
-2.990000000000000e+00	-2.990000e+00	-2.522990e-09
-2.980000000000000e+00	-2.980000e+00	-2.522980e-09
-2.970000000000000e+00	-2.970000e+00	-2.522970e-09
-2.960000000000000e+00	-2.960000e+00	-2.522960e-09
-2.950000000000000e+00	-2.950000e+00	-2.522950e-09
-2.940000000000000e+00	-2.940000e+00	-2.522940e-09
-2.930000000000000e+00	-2.930000e+00	-2.522930e-09
-2.920000000000000e+00	-2.920000e+00	-2.522920e-09
-2.910000000000000e+00	-2.910000e+00	-2.522910e-09
-2.900000000000000e+00	-2.899999e+00	-2.522900e-09
-2.890000000000000e+00	-2.889999e+00	-2.522890e-09
-2.880000000000000e+00	-2.879999e+00	-2.522880e-09
-2.870000000000000e+00	-2.869999e+00	-2.522870e-09
-2.860000000000000e+00	-2.859999e+00	-2.522860e-09
-2.850000000000000e+00	-2.849999e+00	-2.522850e-09
