V1	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	9.999932e-03	3.418453e-10
2.000000000000000e-02	1.999985e-02	7.703466e-10
3.000000000000000e-02	2.999974e-02	1.307471e-09
4.000000000000000e-02	3.999960e-02	1.980754e-09
5.000000000000000e-02	4.999943e-02	2.824710e-09
6.000000000000000e-02	5.999922e-02	3.882603e-09
7.000000000000001e-02	6.999896e-02	5.208662e-09
8.000000000000000e-02	7.999863e-02	6.870860e-09
9.000000000000000e-02	8.999821e-02	8.954399e-09
1.000000000000000e-01	9.999768e-02	1.156607e-08
1.100000000000000e-01	1.099970e-01	1.483973e-08
1.200000000000000e-01	1.199962e-01	1.894314e-08
1.300000000000000e-01	1.299952e-01	2.408658e-08
1.400000000000000e-01	1.399939e-01	3.053357e-08
1.500000000000000e-01	1.499923e-01	3.861439e-08
1.600000000000000e-01	1.599903e-01	4.874290e-08
1.700000000000000e-01	1.699877e-01	6.143775e-08
1.800000000000000e-01	1.799845e-01	7.734876e-08
1.900000000000000e-01	1.899805e-01	9.729007e-08
2.000000000000000e-01	1.999756e-01	1.222815e-07
2.100000000000000e-01	2.099693e-01	1.536005e-07
2.200000000000000e-01	2.199614e-01	1.928466e-07
2.300000000000000e-01	2.299516e-01	2.420220e-07
2.400000000000000e-01	2.399393e-01	3.036328e-07
2.500000000000000e-01	2.499238e-01	3.808138e-07
2.600000000000000e-01	2.599045e-01	4.774847e-07
2.700000000000000e-01	2.698803e-01	5.985428e-07
2.800000000000000e-01	2.798500e-01	7.501029e-07
2.900000000000000e-01	2.898120e-01	9.397914e-07
3.000000000000000e-01	2.997646e-01	1.177108e-06
3.100000000000000e-01	3.097052e-01	1.473870e-06
3.200000000000000e-01	3.196310e-01	1.844742e-06
3.300000000000000e-01	3.295384e-01	2.307886e-06
3.400000000000000e-01	3.394229e-01	2.885723e-06
3.500000000000000e-01	3.492788e-01	3.605823e-06
3.600000000000000e-01	3.590996e-01	4.501940e-06
3.700000000000000e-01	3.688770e-01	5.615147e-06
3.800000000000000e-01	3.786010e-01	6.995076e-06
3.900000000000000e-01	3.882598e-01	8.701168e-06
4.000000000000000e-01	3.978392e-01	1.080385e-05
4.100000000000000e-01	4.073229e-01	1.338550e-05
4.200000000000000e-01	4.166918e-01	1.654089e-05
4.300000000000000e-01	4.259246e-01	2.037707e-05
4.400000000000000e-01	4.349976e-01	2.501212e-05
4.500000000000000e-01	4.438854e-01	3.057288e-05
4.600000000000000e-01	4.525618e-01	3.719116e-05
4.700000000000000e-01	4.610002e-01	4.499885e-05
4.800000000000000e-01	4.691756e-01	5.412197e-05
4.900000000000000e-01	4.770651e-01	6.467439e-05
5.000000000000000e-01	4.846496e-01	7.675192e-05
5.100000000000000e-01	4.919145e-01	9.042757e-05
5.200000000000000e-01	4.988503e-01	1.057486e-04
5.300000000000000e-01	5.054529e-01	1.227354e-04
5.400000000000000e-01	5.117234e-01	1.413829e-04
5.500000000000000e-01	5.176674e-01	1.616631e-04
5.600000000000001e-01	5.232942e-01	1.835289e-04
5.700000000000001e-01	5.286163e-01	2.069184e-04
5.800000000000000e-01	5.336481e-01	2.317594e-04
5.900000000000000e-01	5.384054e-01	2.579729e-04
6.000000000000000e-01	5.429046e-01	2.854770e-04
6.100000000000000e-01	5.471622e-01	3.141889e-04
6.200000000000000e-01	5.511945e-01	3.440274e-04
6.300000000000000e-01	5.550172e-01	3.749143e-04
6.400000000000000e-01	5.586450e-01	4.067750e-04
6.500000000000000e-01	5.620921e-01	4.395393e-04
6.600000000000000e-01	5.653716e-01	4.731420e-04
6.700000000000000e-01	5.684956e-01	5.075221e-04
6.800000000000000e-01	5.714753e-01	5.426235e-04
6.900000000000001e-01	5.743211e-01	5.783946e-04
7.000000000000001e-01	5.770424e-01	6.147880e-04
7.100000000000000e-01	5.796480e-01	6.517599e-04
7.200000000000000e-01	5.821459e-01	6.892704e-04
7.300000000000000e-01	5.845433e-01	7.272831e-04
7.400000000000000e-01	5.868471e-01	7.657644e-04
7.500000000000000e-01	5.890633e-01	8.046835e-04
7.600000000000000e-01	5.911976e-01	8.440122e-04
7.700000000000000e-01	5.932550e-01	8.837247e-04
7.800000000000000e-01	5.952405e-01	9.237973e-04
7.900000000000000e-01	5.971584e-01	9.642080e-04
8.000000000000000e-01	5.990126e-01	1.004937e-03
8.100000000000001e-01	6.008070e-01	1.045965e-03
8.200000000000001e-01	6.025448e-01	1.087276e-03
8.300000000000001e-01	6.042293e-01	1.128854e-03
8.400000000000000e-01	6.058634e-01	1.170683e-03
8.500000000000000e-01	6.074498e-01	1.212751e-03
8.600000000000000e-01	6.089910e-01	1.255045e-03
8.700000000000000e-01	6.104893e-01	1.297553e-03
8.800000000000000e-01	6.119470e-01	1.340265e-03
8.900000000000000e-01	6.133659e-01	1.383170e-03
9.000000000000000e-01	6.147482e-01	1.426259e-03
9.100000000000000e-01	6.160953e-01	1.469523e-03
9.200000000000000e-01	6.174091e-01	1.512955e-03
9.300000000000000e-01	6.186910e-01	1.556545e-03
9.400000000000001e-01	6.199424e-01	1.600288e-03
9.500000000000001e-01	6.211648e-01	1.644176e-03
9.600000000000000e-01	6.223593e-01	1.688203e-03
9.700000000000000e-01	6.235273e-01	1.732364e-03
9.800000000000000e-01	6.246697e-01	1.776652e-03
9.900000000000000e-01	6.257876e-01	1.821062e-03
1.000000000000000e+00	6.268821e-01	1.865590e-03
1.010000000000000e+00	6.279540e-01	1.910230e-03
1.020000000000000e+00	6.290042e-01	1.954979e-03
1.030000000000000e+00	6.300337e-01	1.999832e-03
1.040000000000000e+00	6.310430e-01	2.044785e-03
1.050000000000000e+00	6.320331e-01	2.089834e-03
1.060000000000000e+00	6.330046e-01	2.134977e-03
1.070000000000000e+00	6.339582e-01	2.180209e-03
1.080000000000000e+00	6.348945e-01	2.225528e-03
1.090000000000000e+00	6.358141e-01	2.270930e-03
1.100000000000000e+00	6.367176e-01	2.316412e-03
1.110000000000000e+00	6.376055e-01	2.361973e-03
1.120000000000000e+00	6.384784e-01	2.407608e-03
1.130000000000000e+00	6.393367e-01	2.453316e-03
1.140000000000000e+00	6.401809e-01	2.499095e-03
1.150000000000000e+00	6.410116e-01	2.544942e-03
1.160000000000000e+00	6.418290e-01	2.590855e-03
1.170000000000000e+00	6.426336e-01	2.636832e-03
1.180000000000000e+00	6.434259e-01	2.682871e-03
1.190000000000000e+00	6.442060e-01	2.728970e-03
1.200000000000000e+00	6.449746e-01	2.775127e-03
1.210000000000000e+00	6.457318e-01	2.821341e-03
1.220000000000000e+00	6.464781e-01	2.867610e-03
1.230000000000000e+00	6.472136e-01	2.913932e-03
1.240000000000000e+00	6.479387e-01	2.960306e-03
1.250000000000000e+00	6.486538e-01	3.006731e-03
1.260000000000000e+00	6.493590e-01	3.053205e-03
1.270000000000000e+00	6.500548e-01	3.099726e-03
1.280000000000000e+00	6.507412e-01	3.146294e-03
1.290000000000000e+00	6.514185e-01	3.192907e-03
1.300000000000000e+00	6.520871e-01	3.239565e-03
1.310000000000000e+00	6.527471e-01	3.286265e-03
1.320000000000000e+00	6.533987e-01	3.333007e-03
1.330000000000000e+00	6.540422e-01	3.379789e-03
1.340000000000000e+00	6.546777e-01	3.426612e-03
1.350000000000000e+00	6.553054e-01	3.473473e-03
1.360000000000000e+00	6.559257e-01	3.520372e-03
1.370000000000000e+00	6.565385e-01	3.567307e-03
1.380000000000000e+00	6.571442e-01	3.614279e-03
1.390000000000000e+00	6.577428e-01	3.661286e-03
1.400000000000000e+00	6.583346e-01	3.708327e-03
1.410000000000000e+00	6.589196e-01	3.755402e-03
1.420000000000000e+00	6.594980e-01	3.802510e-03
1.430000000000000e+00	6.600701e-01	3.849649e-03
1.440000000000000e+00	6.606359e-01	3.896820e-03
1.450000000000000e+00	6.611956e-01	3.944022e-03
1.460000000000000e+00	6.617493e-01	3.991253e-03
1.470000000000000e+00	6.622971e-01	4.038514e-03
1.480000000000000e+00	6.628392e-01	4.085804e-03
1.490000000000000e+00	6.633757e-01	4.133121e-03
1.500000000000000e+00	6.639068e-01	4.180466e-03
1.510000000000000e+00	6.644323e-01	4.227838e-03
1.520000000000000e+00	6.649527e-01	4.275237e-03
1.530000000000000e+00	6.654679e-01	4.322661e-03
1.540000000000000e+00	6.659780e-01	4.370110e-03
1.550000000000000e+00	6.664832e-01	4.417584e-03
1.560000000000000e+00	6.669835e-01	4.465083e-03
1.570000000000000e+00	6.674790e-01	4.512605e-03
1.580000000000000e+00	6.679699e-01	4.560150e-03
1.590000000000000e+00	6.684562e-01	4.607719e-03
1.600000000000000e+00	6.689380e-01	4.655310e-03
1.610000000000000e+00	6.694154e-01	4.702923e-03
1.620000000000000e+00	6.698885e-01	4.750557e-03
1.630000000000000e+00	6.703573e-01	4.798213e-03
1.640000000000000e+00	6.708220e-01	4.845890e-03
1.650000000000000e+00	6.712826e-01	4.893587e-03
1.660000000000000e+00	6.717392e-01	4.941304e-03
1.670000000000000e+00	6.721919e-01	4.989041e-03
1.680000000000000e+00	6.726406e-01	5.036797e-03
1.690000000000000e+00	6.730856e-01	5.084572e-03
1.700000000000000e+00	6.735268e-01	5.132366e-03
1.710000000000000e+00	6.739643e-01	5.180178e-03
1.720000000000000e+00	6.743983e-01	5.228009e-03
1.730000000000000e+00	6.748287e-01	5.275857e-03
1.740000000000000e+00	6.752556e-01	5.323722e-03
