#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-11-14 02:06:09.938
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 2.254 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0

Time (s)	Channel 1 (V)	Channel 2 (V)
-0.1023865979381443	-2.761956818707064	-0.01252114512521096
-0.1023615979381443	-2.761956818707064	-0.01252114512521096
-0.1023365979381443	-2.761956818707064	-0.01252114512521096
-0.1023115979381443	-2.761956818707064	-0.01252114512521096
-0.1022865979381443	-2.761956818707064	-0.01252114512521096
-0.1022615979381443	-2.761956818707064	-0.01252114512521096
-0.1022365979381443	-2.761956818707064	-0.01252114512521096
-0.1022115979381443	-2.761956818707064	-0.01252114512521096
-0.1021865979381443	-2.761956818707064	-0.01252114512521096
-0.1021615979381443	-2.761956818707064	-0.01252114512521096
-0.1021365979381443	-2.761956818707064	-0.01252114512521096
-0.1021115979381443	-2.761956818707064	-0.01252114512521096
-0.1020865979381443	-2.761956818707064	-0.01252114512521096
-0.1020615979381443	-2.761956818707064	-0.01252114512521096
-0.1020365979381443	-2.761956818707064	-0.01252114512521096
-0.1020115979381443	-2.761956818707064	-0.0162349214012556
-0.1019865979381443	-2.761956818707064	-0.01623492140125391
-0.1019615979381443	-2.761956818707064	-0.01252114512521096
-0.1019365979381443	-2.761956818707064	-0.01252114512521096
-0.1019115979381443	-2.761956818707064	-0.01252114512521096
-0.1018865979381443	-2.761956818707064	-0.01252114512521096
-0.1018615979381443	-2.761956818707064	-0.01252114512521265
-0.1018365979381443	-2.761956818707064	-0.0162349214012556
-0.1018115979381443	-2.761956818707064	-0.01252114512521096
-0.1017865979381443	-2.761956818707064	-0.01252114512521096
-0.1017615979381443	-2.761956818707064	-0.01252114512521096
-0.1017365979381443	-2.761956818707064	-0.01252114512521096
-0.1017115979381443	-2.761956818707064	-0.01252114512521096
-0.1016865979381443	-2.761956818707064	-0.01252114512521096
-0.1016615979381443	-2.761956818707064	-0.01252114512521096
-0.1016365979381443	-2.761956818707064	-0.01252114512521096
-0.1016115979381443	-2.761956818707064	-0.01252114512521096
-0.1015865979381443	-2.761956818707064	-0.01252114512521096
-0.1015615979381443	-2.761956818707064	-0.01252114512521096
-0.1015365979381443	-2.761956818707064	-0.01252114512521096
-0.1015115979381443	-2.733636179252564	-0.008807368849165886
-0.1014865979381443	-2.688120865843567	-0.008807368849165886
-0.1014615979381443	-2.643279853373921	-0.01252114512521096
-0.1014365979381443	-2.59709023902551	-0.01252114512521096
-0.1014115979381443	-2.550900624677099	-0.008807368849165886
-0.1013865979381443	-2.50740821408626	-0.01252114512521096
-0.1013615979381443	-2.46121859973787	-0.01252114512521096
-0.1013365979381443	-2.415028985389438	-0.008807368849165886
-0.1013115979381443	-2.368839371041028	-0.008807368849165886
-0.1012865979381443	-2.325684110919885	-0.008807368849165886
-0.1012615979381443	-2.279831647041171	-0.01252114512521096
-0.1012365979381443	-2.233642032692781	-0.01252114512521096
-0.1012115979381443	-2.188801020223134	-0.01252114512521096
-0.1011865979381443	-2.144971459162599	-0.008807368849165886
-0.1011615979381443	-2.098107543874795	-0.008807368849165886
-0.1011365979381443	-2.051580779056688	-0.01252114512521096
-0.1011115979381443	-2.00707691705678	-0.01252114512521096
-0.1010865979381443	-1.961224453178045	-0.008807368849165886
-0.1010615979381443	-1.915034838829634	-0.008807368849165886
-0.1010365979381443	-1.870193826360009	-0.008807368849165886
-0.1010115979381443	-1.82568996436008	-0.008807368849165886
-0.1009865979381443	-1.779500350011691	-0.008807368849165886
-0.1009615979381443	-1.733647886132955	-0.008807368849165886
-0.1009365979381443	-1.690155475542116	-0.008807368849165886
-0.1009115979381443	-1.644303011663402	-0.008807368849165886
-0.1008865979381443	-1.598113397314991	-0.008807368849165886
-0.1008615979381443	-1.55293523437569	-0.008807368849165886
-0.1008365979381443	-1.50944282378483	-0.008807368849165886
-0.1008115979381443	-1.463590359906116	-0.008807368849165886
-0.1007865979381443	-1.416052143678919	-0.008807368849165886
-0.1007615979381443	-1.373571184497169	-0.008807368849165886
-0.1007365979381443	-1.326707269209387	-0.008807368849165886
-0.1007115979381443	-1.280854805330651	-0.008807368849165886
-0.1006865979381443	-1.235339491921633	-0.008807368849165886
-0.1006615979381443	-1.192521382270187	-0.008807368849165886
-0.1006365979381443	-1.145994617452079	-0.008807368849165886
-0.1006115979381443	-1.09980500310369	-0.005093592573122497
-0.1005865979381443	-1.05530114110374	-0.008807368849165886
-0.1005615979381443	-1.010797279103811	-0.008807368849165886
-0.1005365979381443	-0.9646076647554007	-0.005093592573120809
-0.1005115979381443	-0.9187552008766864	-0.005093592573120809
-0.1004865979381443	-0.8755999407555631	-0.005093592573120809
-0.1004615979381443	-0.8300846273465255	-0.005093592573120809
-0.1004365979381443	-0.7825464111193291	-0.008807368849165886
-0.1004115979381443	-0.7387168500587933	-0.008807368849165886
-0.1003865979381443	-0.6938758375891683	-0.008807368849165886
-0.1003615979381443	-0.6476862232407784	-0.008807368849165886
-0.1003365979381443	-0.6014966088923467	-0.008807368849165886
-0.1003115979381443	-0.5586784992409002	-0.005093592573120809
-0.1002865979381443	-0.5121517344227929	-0.008807368849165886
-0.1002615979381443	-0.4662992705440785	-0.005093592573120809
-0.1002365979381443	-0.4204468066653851	-0.005093592573120809
-0.1002115979381443	-0.3772915465442213	-0.005093592573120809
-0.1001865979381443	-0.3311019321958105	-0.008807368849165886
-0.1001615979381443	-0.2849123178473997	-0.005093592573120809
-0.1001365979381443	-0.2400713053777747	-0.008807368849165886
-0.1001115979381443	-0.1959045938475425	-0.005093592573120809
-0.1000865979381443	-0.1480292271506496	-0.005093592573120809
-0.1000615979381443	-0.1028510642113281	-0.005093592573120809
-0.1000365979381443	-0.05935865362048873	-0.005093592573120809
-0.1000115979381443	-0.01485479162056009	-0.005093592573120809
-0.09998659793814434	0.01886025534908281	-0.005093592573120809
-0.09996159793814433	0.06976997627324361	0.002333959978968903
