time	V(N003,N002)
1.156138265493612e-02	1.231499e+00
1.162114632541706e-02	1.246491e+00
1.169468994631248e-02	1.291222e+00
1.175686068413467e-02	1.349986e+00
1.182280570303136e-02	1.427125e+00
1.190257091077208e-02	1.527380e+00
1.200191683147465e-02	1.653563e+00
1.212097049461413e-02	1.801659e+00
1.233001023753188e-02	2.051397e+00
1.257415086253188e-02	2.326920e+00
1.281829148753188e-02	2.582544e+00
1.306243211253188e-02	2.816138e+00
1.330657273753188e-02	3.026382e+00
1.355071336253188e-02	3.212113e+00
1.379485398753188e-02	3.372330e+00
1.403899461253188e-02	3.506213e+00
1.428313523753188e-02	3.613129e+00
1.452727586253188e-02	3.692644e+00
1.477141648753188e-02	3.744550e+00
1.501555711253188e-02	3.768883e+00
1.525969773753188e-02	3.765958e+00
1.550383836253188e-02	3.736428e+00
1.574797898753188e-02	3.681363e+00
1.599211961253188e-02	3.602394e+00
1.623626023753188e-02	3.501899e+00
1.648040086253188e-02	3.383184e+00
1.672454148753188e-02	3.250637e+00
1.696868211253188e-02	3.109577e+00
1.721282273753188e-02	2.965522e+00
1.745696336253188e-02	2.823100e+00
1.770110398753188e-02	2.685285e+00
1.794524461253188e-02	2.553430e+00
1.818938523753188e-02	2.427848e+00
1.843352586253188e-02	2.308401e+00
1.867766648753188e-02	2.194825e+00
1.892180711253188e-02	2.086836e+00
1.916594773753188e-02	1.984160e+00
1.941008836253188e-02	1.886537e+00
1.965422898753188e-02	1.793716e+00
1.989836961253188e-02	1.705462e+00
2.014251023753188e-02	1.621551e+00
2.038665086253188e-02	1.541768e+00
2.063079148753188e-02	1.465910e+00
2.087493211253188e-02	1.393788e+00
2.111907273753188e-02	1.325497e+00
2.136321336253188e-02	1.261764e+00
2.146665367639429e-02	1.239685e+00
2.154437339413083e-02	1.233173e+00
2.161521758382297e-02	1.245849e+00
2.168528941955866e-02	1.283527e+00
2.174125037331857e-02	1.333484e+00
2.180859831927914e-02	1.410211e+00
2.189645699543855e-02	1.519669e+00
2.199689656138122e-02	1.647211e+00
2.210791652791053e-02	1.785756e+00
2.229896719360787e-02	2.015216e+00
2.254310781860787e-02	2.292912e+00
2.278724844360787e-02	2.551233e+00
2.303138906860787e-02	2.787706e+00
2.327552969360787e-02	3.000987e+00
2.351967031860787e-02	3.189893e+00
2.376381094360787e-02	3.353404e+00
2.400795156860787e-02	3.490675e+00
2.425209219360787e-02	3.601047e+00
2.449623281860787e-02	3.684063e+00
2.474037344360787e-02	3.739484e+00
2.498451406860787e-02	3.767311e+00
2.522865469360787e-02	3.767824e+00
2.547279531860787e-02	3.741627e+00
2.571693594360787e-02	3.689732e+00
2.596107656860787e-02	3.613690e+00
2.620521719360787e-02	3.515773e+00
2.644935781860787e-02	3.399155e+00
2.669349844360787e-02	3.268084e+00
2.693763906860787e-02	3.127793e+00
2.718177969360787e-02	2.983833e+00
