V1	V(n002)	I(D1)
-2.980000000000000e+00	-2.980000e+00	-2.522980e-09
-2.970000000000000e+00	-2.970000e+00	-2.522970e-09
-2.960000000000000e+00	-2.960000e+00	-2.522961e-09
-2.950000000000000e+00	-2.950000e+00	-2.522951e-09
-2.940000000000000e+00	-2.940000e+00	-2.522940e-09
-2.930000000000000e+00	-2.930000e+00	-2.522930e-09
-2.920000000000000e+00	-2.920000e+00	-2.522920e-09
-2.910000000000000e+00	-2.910000e+00	-2.522911e-09
-2.900000000000000e+00	-2.899999e+00	-2.522901e-09
-2.890000000000000e+00	-2.889999e+00	-2.522890e-09
-2.880000000000000e+00	-2.879999e+00	-2.522880e-09
-2.870000000000000e+00	-2.869999e+00	-2.522870e-09
-2.860000000000000e+00	-2.859999e+00	-2.522861e-09
-2.850000000000000e+00	-2.849999e+00	-2.522850e-09
-2.840000000000000e+00	-2.839999e+00	-2.522840e-09
-2.830000000000000e+00	-2.829999e+00	-2.522830e-09
-2.820000000000000e+00	-2.819999e+00	-2.522820e-09
-2.810000000000000e+00	-2.809999e+00	-2.522811e-09
-2.800000000000000e+00	-2.799999e+00	-2.522800e-09
-2.790000000000000e+00	-2.789999e+00	-2.522790e-09
-2.780000000000000e+00	-2.779999e+00	-2.522780e-09
-2.770000000000000e+00	-2.770000e+00	-2.522771e-09
-2.760000000000000e+00	-2.760000e+00	-2.522761e-09
-2.750000000000000e+00	-2.750000e+00	-2.522750e-09
-2.740000000000000e+00	-2.740000e+00	-2.522740e-09
-2.730000000000000e+00	-2.730000e+00	-2.522730e-09
-2.720000000000000e+00	-2.720000e+00	-2.522721e-09
-2.710000000000000e+00	-2.710000e+00	-2.522710e-09
-2.700000000000000e+00	-2.700000e+00	-2.522700e-09
-2.690000000000000e+00	-2.690000e+00	-2.522690e-09
-2.680000000000000e+00	-2.680000e+00	-2.522680e-09
-2.670000000000000e+00	-2.670000e+00	-2.522671e-09
-2.660000000000000e+00	-2.660000e+00	-2.522661e-09
