time	V(N003,N002)
1.149408919897823e-02	1.208781e+00
1.155078414270127e-02	1.202371e+00
1.161016075998021e-02	1.206451e+00
1.167067345335075e-02	1.227412e+00
1.172584489044567e-02	1.265558e+00
1.179716777125027e-02	1.336315e+00
1.186539847021402e-02	1.416402e+00
1.194684219578720e-02	1.518416e+00
1.204774130942815e-02	1.645390e+00
1.217954164239196e-02	1.807192e+00
1.240573156571661e-02	2.072889e+00
1.264987219071661e-02	2.342588e+00
1.289401281571661e-02	2.591634e+00
1.313815344071661e-02	2.818255e+00
1.338229406571661e-02	3.021180e+00
1.362643469071661e-02	3.199293e+00
1.387057531571661e-02	3.351650e+00
1.411471594071661e-02	3.477487e+00
1.435885656571661e-02	3.576231e+00
1.460299719071661e-02	3.647521e+00
1.484713781571661e-02	3.691223e+00
1.509127844071661e-02	3.707460e+00
1.533541906571661e-02	3.696655e+00
1.557955969071661e-02	3.659595e+00
1.582370031571661e-02	3.597538e+00
1.606784094071661e-02	3.512366e+00
1.631198156571661e-02	3.406763e+00
1.655612219071661e-02	3.284432e+00
1.680026281571661e-02	3.150182e+00
1.704440344071661e-02	3.009527e+00
1.728854406571661e-02	2.867764e+00
1.753268469071661e-02	2.728922e+00
1.777682531571661e-02	2.595294e+00
1.802096594071661e-02	2.467742e+00
1.826510656571661e-02	2.346350e+00
1.850924719071661e-02	2.230909e+00
1.875338781571661e-02	2.121145e+00
1.899752844071661e-02	2.016782e+00
1.924166906571661e-02	1.917553e+00
1.948580969071661e-02	1.823207e+00
1.972995031571661e-02	1.733502e+00
1.997409094071661e-02	1.648211e+00
2.021823156571661e-02	1.567117e+00
2.046237219071661e-02	1.490012e+00
2.070651281571661e-02	1.416702e+00
2.095065344071661e-02	1.347006e+00
2.119479406571661e-02	1.280459e+00
2.132860856768789e-02	1.245677e+00
2.142329434628876e-02	1.222672e+00
2.148343279224652e-02	1.210006e+00
2.153558570576616e-02	1.202674e+00
2.159007855103259e-02	1.202571e+00
2.164581509463566e-02	1.216475e+00
2.171272523687216e-02	1.255429e+00
2.177470330133551e-02	1.311553e+00
2.184037156939781e-02	1.386092e+00
2.192405587975219e-02	1.489704e+00
2.202730248512529e-02	1.619796e+00
2.214188726787646e-02	1.761640e+00
2.233680306502071e-02	1.993642e+00
2.258094369002071e-02	2.268410e+00
2.282508431502071e-02	2.523533e+00
2.306922494002071e-02	2.756622e+00
2.331336556502071e-02	2.966356e+00
2.355750619002071e-02	3.151578e+00
2.380164681502071e-02	3.311292e+00
2.404578744002071e-02	3.444683e+00
2.428992806502071e-02	3.551122e+00
2.453406869002071e-02	3.630187e+00
2.477820931502071e-02	3.681677e+00
2.502234994002071e-02	3.705640e+00
2.526649056502071e-02	3.702407e+00
2.551063119002071e-02	3.672656e+00
2.575477181502071e-02	3.617490e+00
2.599891244002071e-02	3.538592e+00
2.624305306502071e-02	3.438418e+00
2.648719369002071e-02	3.320377e+00
2.673133431502071e-02	3.188961e+00
2.697547494002071e-02	3.049551e+00
2.721961556502071e-02	2.907624e+00
2.746375619002071e-02	2.767651e+00
2.770789681502071e-02	2.632334e+00
2.793957350018474e-02	2.509487e+00
2.818371412518474e-02	2.386137e+00
2.842785475018474e-02	2.268742e+00
2.867199537518474e-02	2.157117e+00
2.891613600018474e-02	2.050984e+00
2.916027662518474e-02	1.950073e+00
2.940441725018474e-02	1.854126e+00
2.964855787518474e-02	1.762900e+00
2.989269850018474e-02	1.676163e+00
3.013683912518474e-02	1.593693e+00
3.038097975018474e-02	1.515281e+00
3.062512037518474e-02	1.440727e+00
