time	V(N003,N002)
0.000000000000000e+00	0.000000e+00
9.999999717180685e-10	0.000000e+00
1.999999943436137e-09	0.000000e+00
1.637112945838939e-05	-4.561580e-10
3.274025891683533e-05	3.041053e-10
4.910938837528128e-05	2.280790e-09
6.547851783372723e-05	5.473896e-09
8.184764729217318e-05	9.883423e-09
9.821677675061913e-05	1.550937e-08
1.145859062090650e-04	2.235174e-08
1.432312906238399e-04	5.215406e-08
1.756137000946714e-04	1.192093e-07
2.111561190285103e-04	2.384186e-07
2.491033811895562e-04	5.066395e-07
2.888360681106621e-04	1.072884e-06
3.297872843331785e-04	2.264977e-06
3.715779058200184e-04	4.768372e-06
4.139119985580870e-04	1.001358e-05
4.566200973075914e-04	2.101064e-05
4.995808526162869e-04	4.407763e-05
5.427383639236300e-04	9.256601e-05
5.860591587687309e-04	1.942515e-04
6.295470496346263e-04	4.075170e-04
6.732305300491746e-04	8.541346e-04
7.171919933807293e-04	1.786947e-03
7.616035002051193e-04	3.725052e-03
8.068324965141840e-04	7.714748e-03
8.536574083174719e-04	1.580894e-02
9.036913004178099e-04	3.193718e-02
9.608521711076672e-04	6.397194e-02
1.035741528990796e-03	1.273097e-01
1.106959399280857e-03	2.067015e-01
1.196156746687349e-03	3.233811e-01
1.308505523934962e-03	4.804893e-01
1.437640177799515e-03	6.640257e-01
1.591338658269330e-03	8.795050e-01
1.835479283269330e-03	1.211583e+00
2.079619908269330e-03	1.529799e+00
2.323760533269330e-03	1.831098e+00
2.567901158269330e-03	2.113804e+00
2.812041783269330e-03	2.376383e+00
3.056182408269330e-03	2.617449e+00
3.300323033269330e-03	2.835789e+00
3.544463658269330e-03	3.030381e+00
3.788604283269330e-03	3.200426e+00
4.032744908269330e-03	3.345389e+00
4.276885533269330e-03	3.465053e+00
4.521026158269330e-03	3.559612e+00
4.765166783269330e-03	3.629809e+00
5.009307408269330e-03	3.677117e+00
5.253448033269330e-03	3.703916e+00
5.497588658269330e-03	3.713615e+00
5.741729283269330e-03	3.710510e+00
5.985869908269330e-03	3.699134e+00
6.230010533269330e-03	3.683336e+00
6.474151158269330e-03	3.665677e+00
6.702849056027874e-03	3.648599e+00
6.946989681027874e-03	3.630283e+00
7.191130306027874e-03	3.612024e+00
7.435270931027874e-03	3.593851e+00
7.679411556027874e-03	3.575768e+00
7.923552181027874e-03	3.557777e+00
8.167692806027874e-03	3.539875e+00
8.411833431027874e-03	3.522064e+00
8.655974056027874e-03	3.504343e+00
8.900114681027874e-03	3.486711e+00
9.144255306027874e-03	3.469167e+00
9.388395931027874e-03	3.451712e+00
9.632536556027874e-03	3.434344e+00
9.876677181027874e-03	3.417064e+00
1.012081780602787e-02	3.399871e+00
1.036495843102787e-02	3.382764e+00
1.060909905602787e-02	3.365744e+00
1.085323968102787e-02	3.348809e+00
1.109738030602787e-02	3.331959e+00
1.134152093102787e-02	3.315194e+00
