V1	V(N002,N003)	Ix(D1:+)
-3.950000000000000e+00	-3.949997e+00	-1.353257e-08
-3.940000000000000e+00	-3.939997e+00	-1.353168e-08
-3.930000000000000e+00	-3.929997e+00	-1.353080e-08
-3.920000000000000e+00	-3.919997e+00	-1.352992e-08
-3.910000000000000e+00	-3.909997e+00	-1.352903e-08
-3.900000000000000e+00	-3.899997e+00	-1.352815e-08
-3.890000000000000e+00	-3.889997e+00	-1.352726e-08
-3.880000000000000e+00	-3.879997e+00	-1.352638e-08
-3.870000000000000e+00	-3.869997e+00	-1.352549e-08
-3.860000000000000e+00	-3.859997e+00	-1.352461e-08
-3.850000000000000e+00	-3.849997e+00	-1.352372e-08
-3.840000000000000e+00	-3.839997e+00	-1.352284e-08
-3.830000000000000e+00	-3.829997e+00	-1.352195e-08
-3.820000000000000e+00	-3.819997e+00	-1.352107e-08
-3.810000000000000e+00	-3.809997e+00	-1.352018e-08
-3.800000000000000e+00	-3.799997e+00	-1.351929e-08
-3.790000000000000e+00	-3.789997e+00	-1.351841e-08
-3.780000000000000e+00	-3.779997e+00	-1.351752e-08
-3.770000000000000e+00	-3.769997e+00	-1.351663e-08
-3.760000000000000e+00	-3.759997e+00	-1.351575e-08
-3.750000000000000e+00	-3.749997e+00	-1.351486e-08
-3.740000000000000e+00	-3.739997e+00	-1.351397e-08
-3.730000000000000e+00	-3.729997e+00	-1.351308e-08
-3.720000000000000e+00	-3.719997e+00	-1.351219e-08
-3.710000000000000e+00	-3.709997e+00	-1.351131e-08
-3.700000000000000e+00	-3.699997e+00	-1.351042e-08
-3.690000000000000e+00	-3.689997e+00	-1.350953e-08
-3.680000000000000e+00	-3.679997e+00	-1.350864e-08
-3.670000000000000e+00	-3.669997e+00	-1.350775e-08
-3.660000000000000e+00	-3.659997e+00	-1.350686e-08
-3.650000000000000e+00	-3.649997e+00	-1.350597e-08
-3.640000000000000e+00	-3.639997e+00	-1.350508e-08
-3.630000000000000e+00	-3.629997e+00	-1.350419e-08
-3.620000000000000e+00	-3.619997e+00	-1.350330e-08
-3.610000000000000e+00	-3.609997e+00	-1.350241e-08
-3.600000000000000e+00	-3.599997e+00	-1.350152e-08
-3.590000000000000e+00	-3.589997e+00	-1.350063e-08
-3.580000000000000e+00	-3.579997e+00	-1.349974e-08
-3.570000000000000e+00	-3.569997e+00	-1.349884e-08
-3.560000000000000e+00	-3.559997e+00	-1.349795e-08
-3.550000000000000e+00	-3.549997e+00	-1.349706e-08
-3.540000000000000e+00	-3.539997e+00	-1.349617e-08
-3.530000000000000e+00	-3.529997e+00	-1.349528e-08
-3.520000000000000e+00	-3.519997e+00	-1.349438e-08
-3.510000000000000e+00	-3.509997e+00	-1.349349e-08
-3.500000000000000e+00	-3.499997e+00	-1.349260e-08
-3.490000000000000e+00	-3.489997e+00	-1.349170e-08
-3.480000000000000e+00	-3.479997e+00	-1.349081e-08
-3.470000000000000e+00	-3.469997e+00	-1.348991e-08
-3.460000000000000e+00	-3.459997e+00	-1.348902e-08
-3.450000000000000e+00	-3.449997e+00	-1.348813e-08
-3.440000000000000e+00	-3.439997e+00	-1.348723e-08
-3.430000000000000e+00	-3.429997e+00	-1.348634e-08
-3.420000000000000e+00	-3.419997e+00	-1.348544e-08
-3.410000000000000e+00	-3.409997e+00	-1.348455e-08
-3.400000000000000e+00	-3.399997e+00	-1.348365e-08
-3.390000000000000e+00	-3.389997e+00	-1.348275e-08
-3.380000000000000e+00	-3.379997e+00	-1.348186e-08
-3.370000000000000e+00	-3.369997e+00	-1.348096e-08
-3.360000000000000e+00	-3.359997e+00	-1.348006e-08
-3.350000000000000e+00	-3.349997e+00	-1.347917e-08
-3.340000000000000e+00	-3.339997e+00	-1.347827e-08
-3.330000000000000e+00	-3.329997e+00	-1.347737e-08
-3.320000000000000e+00	-3.319997e+00	-1.347647e-08
-3.310000000000000e+00	-3.309997e+00	-1.347557e-08
-3.300000000000000e+00	-3.299997e+00	-1.347468e-08
-3.290000000000000e+00	-3.289997e+00	-1.347378e-08
-3.280000000000000e+00	-3.279997e+00	-1.347288e-08
-3.270000000000000e+00	-3.269997e+00	-1.347198e-08
-3.260000000000000e+00	-3.259997e+00	-1.347108e-08
-3.250000000000000e+00	-3.249997e+00	-1.347018e-08
-3.240000000000000e+00	-3.239997e+00	-1.346928e-08
-3.230000000000000e+00	-3.229997e+00	-1.346838e-08
-3.220000000000000e+00	-3.219997e+00	-1.346748e-08
-3.210000000000000e+00	-3.209997e+00	-1.346658e-08
-3.200000000000000e+00	-3.199997e+00	-1.346568e-08
-3.190000000000000e+00	-3.189997e+00	-1.346477e-08
-3.180000000000000e+00	-3.179997e+00	-1.346387e-08
-3.170000000000000e+00	-3.169997e+00	-1.346297e-08
-3.160000000000000e+00	-3.159997e+00	-1.346207e-08
-3.150000000000000e+00	-3.149997e+00	-1.346117e-08
-3.140000000000000e+00	-3.139997e+00	-1.346026e-08
-3.130000000000000e+00	-3.129997e+00	-1.345936e-08
-3.120000000000000e+00	-3.119997e+00	-1.345846e-08
-3.110000000000000e+00	-3.109997e+00	-1.345755e-08
-3.100000000000000e+00	-3.099997e+00	-1.345665e-08
-3.090000000000000e+00	-3.089997e+00	-1.345574e-08
-3.080000000000000e+00	-3.079997e+00	-1.345484e-08
-3.070000000000000e+00	-3.069997e+00	-1.345393e-08
-3.060000000000000e+00	-3.059997e+00	-1.345303e-08
-3.050000000000000e+00	-3.049997e+00	-1.345212e-08
-3.040000000000000e+00	-3.039997e+00	-1.345122e-08
-3.030000000000000e+00	-3.029997e+00	-1.345031e-08
-3.020000000000000e+00	-3.019997e+00	-1.344940e-08
-3.010000000000000e+00	-3.009997e+00	-1.344850e-08
-3.000000000000000e+00	-2.999997e+00	-1.344759e-08
-2.990000000000000e+00	-2.989997e+00	-1.344668e-08
-2.980000000000000e+00	-2.979997e+00	-1.344577e-08
-2.970000000000000e+00	-2.969997e+00	-1.344486e-08
-2.960000000000000e+00	-2.959997e+00	-1.344396e-08
-2.950000000000000e+00	-2.949997e+00	-1.344305e-08
-2.940000000000000e+00	-2.939997e+00	-1.344214e-08
-2.930000000000000e+00	-2.929997e+00	-1.344123e-08
-2.920000000000000e+00	-2.919997e+00	-1.344032e-08
-2.910000000000000e+00	-2.909997e+00	-1.343941e-08
-2.900000000000000e+00	-2.899997e+00	-1.343850e-08
-2.890000000000000e+00	-2.889997e+00	-1.343759e-08
-2.880000000000000e+00	-2.879997e+00	-1.343668e-08
-2.870000000000000e+00	-2.869997e+00	-1.343576e-08
-2.860000000000000e+00	-2.859997e+00	-1.343485e-08
-2.850000000000000e+00	-2.849997e+00	-1.343394e-08
-2.840000000000000e+00	-2.839997e+00	-1.343303e-08
-2.830000000000000e+00	-2.829997e+00	-1.343211e-08
-2.820000000000000e+00	-2.819997e+00	-1.343120e-08
