time	V(N003,N002)
6.576333055876100e-02	3.634081e+00
6.600747118376100e-02	3.531616e+00
6.625161180876100e-02	3.402066e+00
6.649575243376100e-02	3.246280e+00
6.673989305876100e-02	3.065292e+00
6.698403368376100e-02	2.860322e+00
6.722817430876100e-02	2.632782e+00
6.747231493376100e-02	2.384297e+00
6.771645555876100e-02	2.116725e+00
6.796059618376100e-02	1.832222e+00
6.820473680876100e-02	1.533359e+00
6.844887743376100e-02	1.223396e+00
6.869301805876100e-02	9.071525e-01
6.893715868376100e-02	5.933720e-01
6.918129930876100e-02	3.057685e-01
6.942543993376100e-02	8.962226e-02
6.959407258734338e-02	1.742578e-02
6.975987126774548e-02	1.475066e-03
6.989486664875477e-02	9.629875e-05
7.002643480589527e-02	1.109503e-04
7.027057543089527e-02	7.539526e-03
7.051471605589527e-02	6.301913e-02
7.071726610677544e-02	1.980007e-01
7.092019312736139e-02	4.164909e-01
7.116433375236139e-02	7.225780e-01
7.140847437736139e-02	1.038941e+00
7.165261500236139e-02	1.353178e+00
7.189675562736139e-02	1.658979e+00
7.214089625236139e-02	1.952326e+00
7.238503687736139e-02	2.230121e+00
7.262917750236139e-02	2.490014e+00
7.287331812736139e-02	2.730008e+00
7.311745875236139e-02	2.948353e+00
7.336159937736139e-02	3.143516e+00
7.360574000236139e-02	3.314165e+00
7.384988062736139e-02	3.459160e+00
7.409402125236139e-02	3.577543e+00
7.433816187736139e-02	3.668543e+00
7.458230250236139e-02	3.731569e+00
7.482644312736139e-02	3.766215e+00
7.507058375236139e-02	3.772258e+00
7.531472437736139e-02	3.749660e+00
7.555886500236139e-02	3.698565e+00
7.580300562736139e-02	3.619303e+00
7.604714625236139e-02	3.512386e+00
7.629128687736139e-02	3.378510e+00
7.653542750236139e-02	3.218554e+00
7.677956812736139e-02	3.033580e+00
7.702370875236139e-02	2.824840e+00
7.726784937736139e-02	2.593781e+00
7.751199000236139e-02	2.342060e+00
7.775613062736139e-02	2.071581e+00
7.800027125236139e-02	1.784556e+00
7.824441187736139e-02	1.483643e+00
7.848855250236139e-02	1.172261e+00
7.873269312736139e-02	8.556278e-01
7.897683375236139e-02	5.437325e-01
7.922097437736139e-02	2.653382e-01
7.946511500236139e-02	7.016706e-02
7.964042556029367e-02	9.363562e-03
7.977021637560273e-02	8.538663e-04
7.991491588240579e-02	7.951260e-05
8.005942613345118e-02	2.007484e-04
8.030356675845118e-02	1.137276e-02
8.054770738345118e-02	8.565304e-02
8.078801062696191e-02	2.721206e-01
8.100521811959945e-02	5.205370e-01
8.124935874459945e-02	8.324773e-01
8.149349936959945e-02	1.149133e+00
8.173763999459945e-02	1.460946e+00
8.198178061959945e-02	1.762748e+00
8.222592124459945e-02	2.050964e+00
8.247006186959945e-02	2.322770e+00
8.271420249459945e-02	2.575947e+00
8.295834311959945e-02	2.808589e+00
8.320248374459945e-02	3.019024e+00
8.344662436959945e-02	3.205791e+00
8.369076499459945e-02	3.367626e+00
8.393490561959945e-02	3.503452e+00
8.417904624459945e-02	3.612377e+00
8.442318686959945e-02	3.693692e+00
8.466732749459945e-02	3.746871e+00
8.491146811959945e-02	3.771572e+00
8.515560874459945e-02	3.767635e+00
8.539974936959945e-02	3.735087e+00
8.564388999459945e-02	3.674136e+00
8.588803061959945e-02	3.585175e+00
